#{"t_start": 1752554826.2449088, "env_id": "None"}
r,l,t
27.372929,5,0.030924
39.529328,5,0.063276
-2.876713,5,0.068326
-1.948164,5,0.094749
-100.0,100,0.224414
10.93581,9,0.234035
71.981627,5,0.239064
-14.0,14,0.251488
8.301022,5,0.25769
83.299511,5,0.262223
-57.0,57,0.312869
3.950364,5,0.317975
-100.0,100,0.406585
57.477613,5,0.412582
-2.381356,5,0.417089
6.69067,5,0.422463
59.929146,5,0.426946
-25.0,25,0.449979
22.813547,5,0.454591
-100.0,100,0.560853
32.207779,5,0.565235
12.82145,5,0.569833
36.527871,5,0.576251
1.272987,5,0.581693
56.754775,5,0.586286
10.628933,5,0.590809
-1.167466,5,0.596853
-80.687493,84,0.671111
-100.0,100,0.758289
-76.0,76,0.825612
-43.424674,52,0.871535
-1.907024,5,0.876996
-58.0,59,0.929123
-65.0,65,0.986611
73.716186,5,0.991196
-48.0,48,1.079297
-100.0,100,1.168343
-9.252482,10,1.178433
-50.393926,74,1.242716
-48.0,48,1.320914
-58.584733,59,1.375362
-100.0,100,1.466794
-51.0,51,1.512395
-99.0,100,1.602653
-70.0,70,1.668119
-100.0,100,1.757009
-32.0,32,1.787187
-6.0,6,1.794636
-66.354114,100,1.882029
5.647419,5,1.886627
5.711411,5,1.891449
-5.369525,38,1.927918
-29.0,29,1.954548
-91.0,91,2.037542
-68.549172,100,2.125922
-78.0,78,2.195866
3.127175,30,2.223649
-99.105461,100,2.319201
-13.877839,24,2.34197
-100.0,100,2.432733
-23.0,23,2.451699
10.077009,5,2.457897
-76.0,76,2.525233
24.75172,5,2.530496
-19.0,19,2.548113
-21.0,21,2.565746
52.403597,5,2.592441
-50.20971,54,2.641794
-3.894193,6,2.646262
-97.570306,100,2.733713
-63.881492,70,2.796824
-68.894193,71,2.858189
-51.0,51,2.903421
-15.293112,16,2.918622
-44.919537,46,2.959927
49.902678,5,2.965323
24.75172,5,2.969887
-39.9027,42,3.008835
-28.221002,39,3.041727
-90.567713,100,3.130741
-3.031939,27,3.154804
-67.0,67,3.215896
0.432287,10,3.224167
-100.0,100,3.313283
-96.147228,100,3.401878
10.628933,5,3.408035
-18.0,18,3.422952
-21.0,21,3.442758
32.543984,5,3.449061
-50.202733,56,3.498029
88.161091,5,3.50261
-98.919537,100,3.59588
-28.842822,31,3.622788
-26.0,26,3.644761
40.626475,5,3.649238
-13.0,13,3.663124
30.203344,9,3.670584
22.474312,16,3.68486
-89.0,90,3.761886
-21.0,21,3.783573
7.972301,5,3.788058
-39.429017,77,3.856165
59.929146,5,3.860664
31.557347,5,3.868217
-95.780604,100,3.956981
40.966404,5,3.962512
43.968926,5,3.985752
-20.939073,25,4.0097
-71.823763,83,4.082405
3.947748,5,4.086938
-80.0,80,4.157625
5.745907,5,4.164764
-75.0,75,4.231471
-99.279126,100,4.320814
-30.0,30,4.349102
-90.0,90,4.429564
-14.0,14,4.442844
-83.0,83,4.518361
15.210737,26,4.540159
24.908641,24,4.562017
-100.0,100,4.64957
-28.0,28,4.674472
-47.369525,80,4.743688
-100.0,100,4.796158
-100.0,100,4.833114
-100.0,100,4.870214
-100.0,100,4.907119
-100.0,100,4.944026
24.75172,5,4.957551
-63.0,63,5.012995
4.299086,5,5.020105
-24.0,24,5.04138
-100.0,100,5.129409
-100.0,100,5.216808
-60.0,60,5.268649
-96.677977,100,5.354314
-100.0,100,5.449378
-16.0,17,5.46381
68.30439,5,5.468355
-5.105461,6,5.474596
-67.369525,100,5.56649
60.347543,5,5.571196
-99.0,100,5.657758
-99.0,100,5.743654
-100.0,100,5.83239
23.496203,5,5.836947
55.567857,6,5.843148
-27.249507,28,5.868717
-5.0,5,5.875053
12.82145,5,5.879586
-99.328486,100,5.967134
-31.0,32,5.995183
80.330498,5,6.002751
-1.646723,5,6.009093
-29.0,29,6.034412
-67.746135,71,6.100496
-56.0,56,6.152233
-100.0,100,6.241061
84.870762,5,6.245853
-66.0,66,6.303084
-9.091265,10,6.315126
29.730578,5,6.319717
-44.325378,45,6.359465
26.144075,5,6.36566
18.768562,5,6.372216
8.563696,5,6.376776
6.690728,5,6.3815
-29.0,29,6.409601
1.950714,5,6.415727
8.786161,5,6.419979
51.246296,5,6.424468
6.943901,5,6.431159
-88.565461,100,6.52101
-59.737923,86,6.596743
-100.0,100,6.684304
14.61107,5,6.688305
37.651281,5,6.696686
77.209044,5,6.70134
5.367261,5,6.705841
-82.901556,87,6.781946
-99.0,100,6.871733
12.723428,5,6.876268
14.011408,5,6.880485
-22.479765,31,6.908125
-26.0,26,6.933675
-100.0,100,7.021357
5.387107,5,7.025998
40.631161,5,7.030529
-2.146534,5,7.037011
-96.681504,100,7.125864
98.295882,5,7.132531
6.308622,18,7.147725
39.965069,5,7.154357
51.576093,5,7.161142
-15.360077,64,7.217571
43.006576,31,7.244266
12.207707,5,7.252666
-16.0,16,7.266891
3.135555,5,7.271411
-17.0,17,7.286084
-26.479765,35,7.319163
62.157788,5,7.323661
7.388954,5,7.32831
-62.0,62,7.38934
35.382322,5,7.404669
-15.0,15,7.418482
-100.0,100,7.506651
3.135555,5,7.511155
-42.0,42,7.619686
43.687042,5,7.624149
43.687042,5,7.628606
-100.0,100,7.717718
3.324936,5,7.722585
-97.429451,100,7.81124
1.505156,5,7.817959
-81.0,81,7.890302
32.011703,24,7.912323
-29.800087,63,7.968801
-51.0,51,8.013516
1.898885,5,8.020195
-11.0,11,8.029315
44.993627,5,8.035775
-98.0,98,8.121801
3.428188,5,8.126345
11.284057,5,8.133638
-42.295979,43,8.171725
-44.325378,45,8.212685
-75.0,76,8.280717
35.423561,5,8.286208
12.660579,5,8.290473
-61.479765,70,8.35364
-90.0,90,8.432308
-28.0,28,8.458086
-66.0,66,8.517936
-100.0,100,8.606437
-55.027699,68,8.667037
-42.325378,43,8.704155
9.560144,5,8.710471
-2.140612,5,8.714926
37.942598,5,8.719534
31.939932,6,8.726931
-96.584974,100,8.815102
49.68957,6,8.820052
-47.0,47,8.861453
-45.0,46,8.902236
-100.0,100,8.990711
-82.727013,89,9.070867
-76.0,76,9.137298
-60.569573,67,9.196288
-69.202966,100,9.286736
-58.0,58,9.338613
4.184847,5,9.343095
-2.570392,5,9.34816
-12.105461,13,9.361482
10.628933,5,9.366052
24.452283,5,9.370632
4.004786,7,9.378011
-37.0,38,9.410016
-12.0,12,9.420663
-26.0,26,9.444927
-72.303839,77,9.515175
52.953333,24,9.536509
-1.64974,5,9.541119
-80.154266,100,9.582972
-81.940742,100,9.620533
28.804498,5,9.623032
-2.140612,5,9.625396
-1.921245,5,9.627707
-45.0,45,9.675733
13.603226,5,9.680991
1.585014,6,9.685508
3.428188,5,9.691891
-100.0,100,9.779492
-100.0,100,9.86812
54.623304,5,9.872671
32.315483,5,9.877234
9.594014,5,9.881489
-1.709936,5,9.890015
76.446293,5,9.894588
9.772881,5,9.89889
-98.919537,100,9.987414
-100.0,100,10.07704
59.32021,5,10.081699
66.502252,5,10.088058
-97.242231,100,10.177253
-50.303839,55,10.226819
-100.0,100,10.316204
88.499688,5,10.322679
88.161091,5,10.327178
6.608353,5,10.333885
10.628933,5,10.338394
51.723373,5,10.345042
59.031803,5,10.349733
7.972301,5,10.35621
72.322091,5,10.360757
-99.596094,100,10.448671
-100.0,100,10.537799
-22.091265,23,10.560943
-70.0,70,10.623464
-20.717624,28,10.64824
-96.236899,100,10.737758
-6.027699,19,10.75586
-9.0,9,10.765226
52.403597,5,10.76999
-95.0,95,10.853837
66.443125,5,10.860542
-0.90292,5,10.864713
3.55624,5,10.869688
-97.684096,100,10.958191
-94.769195,100,11.050297
-90.0,90,11.133836
-14.0,14,11.144913
-61.0,61,11.199836
-6.0,6,11.206557
-18.0,18,11.223482
55.259881,5,11.227967
-100.0,100,11.31642
40.678097,5,11.323075
-27.243407,28,11.348527
-16.329128,17,11.36273
68.421412,5,11.369026
14.177023,5,11.375538
7.690872,5,11.37944
-53.0,53,11.425012
-9.891852,25,11.448468
-100.0,100,11.536592
6.485567,5,11.541226
-98.570072,100,11.629508
38.486668,5,11.633862
-99.0,100,11.722921
-78.431176,89,11.80106
25.350517,5,11.807514
-1.709936,5,11.812037
43.687042,5,11.818788
-26.0,26,11.842385
47.952128,5,11.846875
-58.538309,67,11.905535
-100.0,100,11.994927
-64.0,64,12.050165
21.882866,5,12.054821
2.319948,5,12.059323
38.187862,5,12.065919
-91.649366,98,12.151832
49.009847,5,12.156323
-69.0,69,12.216483
12.660866,5,12.225132
3.428188,5,12.229734
-100.0,100,12.321675
-100.0,100,12.41047
43.687042,5,12.417181
21.804159,10,12.427189
-18.0,18,12.441915
-1.591504,5,12.446119
-21.0,21,12.467841
-72.548661,100,12.554295
44.797012,5,12.558868
64.44605,5,12.563344
69.234477,5,12.593297
4.711411,6,12.600263
86.692287,5,12.604766
-35.0,35,12.636756
-99.214732,100,12.726191
24.75172,5,12.730716
-60.842822,63,12.786048
7.424207,6,12.791087
-76.0,76,12.858824
-1.709936,5,12.865164
-100.0,100,12.955682
-98.354968,100,13.043143
40.298519,5,13.049847
-2.304924,11,13.059931
-11.0,12,13.070373
26.661563,5,13.074878
-10.043829,14,13.088189
5.690728,6,13.09498
-100.0,100,13.184013
-79.567374,81,13.254903
13.528475,5,13.261536
39.681708,5,13.267794
-27.3773,42,13.302475
-98.354968,100,13.38934
45.992473,5,13.395863
-59.0,60,13.449979
5.44698,5,13.456434
-1.709936,5,13.460977
24.223713,6,13.468153
11.223494,5,13.474555
-100.0,100,13.561503
-11.0,11,13.570205
-56.0,56,13.62154
-100.0,100,13.711755
55.259881,5,13.720715
-14.566994,28,13.74591
-94.630261,100,13.83558
-2.146534,5,13.840174
-4.566536,9,13.848093
-100.0,100,13.937009
0.211687,5,13.943506
-39.026811,50,13.987246
7.972301,5,13.991939
8.307598,6,13.998507
2.674992,6,14.004629
22.413515,23,14.025505
6.608353,5,14.030325
-99.0,100,14.120519
15.618656,5,14.12734
-41.214732,42,14.195583
29.65883,5,14.200133
9.772783,5,14.205686
-0.383176,5,14.221269
-1.591504,5,14.223738
50.250013,5,14.226171
-84.923984,100,14.263624
-99.596094,100,14.302374
-99.0,100,14.401102
31.543984,6,14.40772
-100.0,100,14.495334
73.302975,5,14.499884
-84.0,84,14.573283
-99.198827,100,14.669643
3.643129,5,14.680248
-22.076263,30,14.808491
12.333353,5,14.817928
-1.646723,5,14.822431
-68.0,68,14.882439
-100.0,100,14.972479
-3.195096,5,14.979499
27.971538,5,14.983693
-37.0,37,15.016096
-100.0,100,15.106623
-10.043829,14,15.120371
65.216804,5,15.124882
8.41544,5,15.129379
-100.0,100,15.216601
39.083014,5,15.221941
100.583182,5,15.229271
41.836112,5,15.233804
-100.0,100,15.320367
10.507139,5,15.325674
-38.0,38,15.360499
-84.214732,85,15.434331
-99.0,100,15.519785
-0.259942,5,15.52498
-51.0,52,15.570254
12.489111,5,15.574738
-100.0,100,15.661101
0.846863,5,15.668326
22.597455,5,15.672948
61.910798,5,15.677526
-99.095511,100,15.763478
-9.0,9,15.771714
49.008528,5,15.778076
8.427957,5,15.782306
-0.877742,6,15.786605
-51.20971,55,15.836463
10.430295,5,15.840986
-99.0,100,15.927358
26.791814,5,15.933059
10.821434,5,15.938269
-14.0,14,15.949663
-26.351514,34,15.980339
-11.0,11,15.990739
9.843556,10,15.999578
12.728525,5,16.004039
24.359576,6,16.010564
-2.468687,5,16.01466
20.005864,5,16.019796
-89.0,89,16.098637
20.005864,5,16.103132
3.55624,5,16.107745
-7.140816,8,16.116362
-39.235487,40,16.152312
-99.584733,100,16.239282
1.386441,6,16.245955
72.720496,5,16.251855
39.681708,5,16.256323
30.74606,5,16.260291
-5.0,6,16.266697
-100.0,100,16.355237
-98.908793,100,16.44246
-23.0,23,16.463105
-99.0,100,16.549525
-12.0,12,16.561076
-2.604475,5,16.565266
4.182565,5,16.56975
19.934052,5,16.574295
-41.684096,44,16.613121
43.687042,5,16.619388
-13.0,13,16.6307
-2.236107,6,16.635865
-99.214732,100,16.726002
10.628933,5,16.732316
62.157788,5,16.736783
17.116836,6,16.741698
-100.0,100,16.829301
3.55624,5,16.835756
5.46851,6,16.841372
25.969882,5,16.845542
-99.105461,100,16.933381
-96.140612,100,17.020925
1.528327,5,17.027294
-98.0,98,17.110184
-75.003486,100,17.197959
-14.0,14,17.210949
-45.771552,48,17.253583
-10.902367,38,17.285502
-80.0,80,17.354935
5.46851,6,17.361723
8.586632,6,17.365932
-3.244527,5,17.370059
-29.61934,32,17.39886
42.842341,5,17.405287
-65.0,65,17.460821
-15.141424,24,17.482028
66.502252,5,17.487221
-94.0,94,17.571017
-23.0,23,17.589723
-27.73,31,17.618488
5.46851,6,17.625865
-100.0,100,17.71245
-46.0,46,17.752425
-35.0,35,17.783406
24.888286,5,17.78877
57.128255,5,17.79302
-23.0,23,17.813776
-100.0,100,17.898975
-31.0,31,17.926845
-75.61934,78,17.993011
82.827862,6,17.999933
12.660866,5,18.004496
-21.0,21,18.022933
2.055014,25,18.04622
-100.0,100,18.133377
-1.687493,5,18.138297
-98.602352,100,18.227427
-86.566994,100,18.314456
12.660866,5,18.319103
-53.0,54,18.367177
6.737113,5,18.372552
-21.596094,22,18.390757
-10.0,10,18.40083
35.781614,5,18.405366
3.40585,5,18.410662
-28.0,28,18.435403
-30.198827,31,18.462981
-39.670642,43,18.501087
1.350634,5,18.506349
1.350634,5,18.511151
-96.140612,100,18.598217
54.48424,5,18.604593
-100.0,100,18.694268
-2.140612,5,18.698499
26.424961,5,18.702992
-83.694342,100,18.79103
-52.121513,69,18.851699
15.124863,5,18.858115
38.187862,5,18.872417
-95.939073,100,18.909464
-52.54073,100,18.946517
-96.681504,100,18.983774
-100.0,100,19.020534
-100.0,100,19.10967
3.972262,5,19.116022
19.996514,5,19.12155
-13.683724,16,19.135796
7.70936,27,19.162016
-91.844156,100,19.252781
-53.0,53,19.300059
-17.0,17,19.314695
-96.681504,100,19.40605
-14.0,14,19.41932
-86.97692,91,19.498861
52.477324,6,19.505512
-100.0,100,19.592041
53.662364,5,19.596359
61.506551,5,19.602635
14.740452,5,19.608962
39.681708,5,19.61445
26.072748,5,19.61889
32.37936,5,19.62525
-16.0,16,19.639194
56.431761,5,19.645184
-16.110169,24,19.666628
-10.0,10,19.676298
22.794786,5,19.680475
33.719313,5,19.686536
-5.596094,7,19.691521
-3.595794,5,19.699479
10.628933,5,19.70396
4.299086,5,19.70841
9.772783,5,19.712883
12.82145,5,19.721073
-97.683724,100,19.807729
21.437167,5,19.812132
-100.0,100,19.899065
19.996514,5,19.905604
-1.709936,5,19.910135
1.350634,5,19.916414
17.250544,5,19.921035
-66.0,67,19.980846
32.37936,5,19.985348
68.30439,5,19.989893
24.782475,5,19.99437
42.208424,5,20.002648
11.284057,5,20.007146
96.90435,5,20.011655
5.367261,5,20.01628
-43.0,43,20.057564
7.972301,5,20.062041
43.687042,5,20.068317
40.678097,5,20.072871
5.647419,5,20.080064
-38.0,38,20.114257
1.505156,5,20.118787
-99.0,100,20.205209
79.00864,5,20.211778
47.742551,5,20.216272
4.182565,5,20.222632
32.315483,5,20.227191
-1.646723,5,20.233729
-61.0,62,20.288769
-2.865355,5,20.293318
1.027731,5,20.297492
52.403597,5,20.303837
-13.0,13,20.316801
-2.236107,6,20.321983
39.928919,5,20.326435
-96.0,96,20.410922
41.918448,5,20.417248
14.55424,6,20.421563
12.82145,5,20.426076
64.295053,5,20.434728
5.026257,5,20.439586
33.719313,5,20.444115
-86.566994,100,20.530549
7.972301,5,20.536999
5.711411,5,20.543341
-86.940072,100,20.630356
-60.879161,67,20.687655
24.358862,5,20.695747
-20.0,20,20.713921
-40.566994,54,20.758868
