#{"t_start": 1752554542.6420565, "env_id": "None"}
r,l,t
-55.390259,59,0.174174
0.936252,5,0.178305
74.400774,5,0.184837
-21.570763,100,0.274288
20.224366,5,0.278932
11.998063,5,0.283586
46.822837,5,0.288618
53.714048,5,0.296957
30.204436,5,0.301614
22.327342,5,0.306285
42.275821,6,0.312913
-24.0,25,0.336496
-11.0,11,0.346606
3.330633,5,0.351034
-96.933018,100,0.440984
21.112281,20,0.460663
-63.798916,100,0.567608
-100.0,100,0.656616
66.219499,5,0.662382
-21.0,21,0.682061
-0.027048,5,0.688565
-23.598843,40,0.725208
-39.13388,40,0.761844
62.746898,5,0.768603
76.292107,5,0.7732
1.894538,5,0.777536
-25.0,25,0.802268
-100.0,100,0.894311
20.914302,5,0.898855
20.224366,5,0.903367
6.872504,5,0.908118
-14.0,14,0.9256
12.50238,5,0.93021
-7.685383,16,0.945609
4.030129,5,0.950255
-24.652461,63,1.017926
30.69265,5,1.022456
9.832309,5,1.055087
13.605237,5,1.060123
-1.935815,5,1.065815
-44.0,44,1.109593
29.10018,5,1.116967
12.17212,5,1.124067
55.626061,5,1.129642
-86.222507,100,1.219834
-100.0,100,1.32511
-12.0,12,1.335808
19.110414,5,1.34204
-99.0,100,1.430669
9.572598,5,1.435155
13.182698,22,1.457688
-10.0,10,1.473727
106.466621,5,1.481223
10.274915,6,1.486601
-100.0,100,1.583049
-2.003377,5,1.593143
-99.568077,100,1.685313
-90.65912,100,1.777305
57.352586,5,1.784046
-89.342747,100,1.878142
-99.0,100,1.971647
-100.0,100,2.063323
-100.0,100,2.163319
77.425786,5,2.169932
-100.0,100,2.261591
-99.0,100,2.352498
-97.801935,100,2.440739
64.073948,5,2.447341
-27.816066,30,2.475212
-53.468651,100,2.566759
0.070036,6,2.574163
-42.753824,47,2.619059
-16.808748,28,2.644496
85.114659,5,2.649052
24.788026,5,2.654036
-39.0,39,2.691679
10.917337,13,2.703482
7.45422,6,2.710734
10.602268,5,2.715408
-3.484936,8,2.724672
-64.293241,100,2.820559
-23.0,23,2.841047
-2.13761,5,2.84572
-21.096702,31,2.876182
79.784971,5,2.880804
-1.935815,5,2.885427
-1.522611,5,2.891901
-51.0,51,2.938805
-93.356076,100,3.032116
-7.62752,25,3.058481
-100.0,100,3.14769
-94.0,94,3.232394
-21.595794,24,3.2539
5.333787,5,3.258599
56.275311,5,3.265172
52.806804,5,3.271914
30.201489,5,3.277011
82.190499,5,3.281709
32.986855,5,3.288143
-100.0,100,3.382233
-5.950188,100,3.47336
-35.182019,38,3.507039
-31.247348,77,3.577583
-30.683529,33,3.612024
-61.537506,69,3.674613
6.08674,5,3.679464
6.643579,5,3.684365
-16.096702,26,3.713846
-57.0,57,3.763772
26.320006,5,3.768526
-3.030768,14,3.781847
5.299818,5,3.788623
-100.0,100,3.881008
1.42777,5,3.885762
-11.392649,21,3.905986
-100.0,100,3.99972
-45.0,45,4.043209
19.77808,5,4.047862
12.144599,5,4.052792
-100.0,100,4.143182
15.102861,5,4.149574
-5.943127,20,4.167731
23.951328,6,4.172619
0.622194,5,4.179184
5.333787,5,4.186056
36.290278,5,4.190681
55.241994,5,4.195004
8.213438,5,4.201174
-52.172316,66,4.261925
77.697924,5,4.267172
-21.849152,100,4.35928
-11.471652,34,4.393097
-15.096702,25,4.415303
-51.0,51,4.461141
38.913715,5,4.465917
83.369626,5,4.472558
21.327342,6,4.479304
-82.0,82,4.554652
-48.968358,100,4.645351
-100.0,100,4.738797
0.954975,5,4.743265
-2.106538,5,4.749813
-1.943107,5,4.754065
-48.0,48,4.800792
39.458265,5,4.805294
-57.0,58,4.860123
-2.410008,5,4.864561
-100.0,100,4.933426
-91.013404,100,4.971944
11.208137,5,4.974479
26.911593,5,4.97723
-88.572771,100,5.015364
-2.327251,5,5.030182
60.664388,5,5.034774
44.267338,5,5.040027
37.977113,5,5.044701
-96.201305,100,5.13425
14.837951,14,5.148388
-94.053137,100,5.238533
-98.0,98,5.325005
44.456381,5,5.333694
3.325558,5,5.338279
-18.586929,31,5.366611
-43.06932,55,5.413246
-100.0,100,5.506205
36.724653,5,5.512787
46.822837,5,5.517202
29.689165,5,5.522299
26.944923,5,5.528909
-3.394763,22,5.551282
-54.0,54,5.596318
-64.817428,100,5.683885
-29.583856,32,5.714529
-2.814819,9,5.724
24.788026,5,5.728718
-36.731641,100,5.817495
-4.182019,7,5.826707
17.398656,5,5.831321
-98.568077,100,5.919915
11.601132,6,5.924355
-2.106538,5,5.932772
14.042223,5,5.937063
26.45919,5,5.941543
57.446196,5,5.945777
4.628456,5,5.954031
-99.361474,100,6.04124
-96.0,96,6.125856
-1.935815,5,6.130494
12.818916,5,6.137203
25.485356,5,6.141739
-100.0,100,6.253423
-2.935815,6,6.26218
-45.361474,46,6.304022
77.007408,5,6.310431
28.037442,60,6.364273
61.469302,6,6.369227
-16.0,16,6.385516
26.911593,5,6.390222
57.293954,5,6.397232
16.196185,6,6.401896
39.363076,5,6.408376
-18.814819,25,6.431801
44.123949,5,6.436003
-30.569845,51,6.481497
27.714978,5,6.487996
-2.003377,5,6.492469
-93.215343,100,6.581468
6.891214,5,6.585829
-2.754032,6,6.59465
-1.784425,5,6.598861
-69.665105,100,6.685528
40.585248,6,6.692333
-46.394763,65,6.751482
26.911593,5,6.75622
28.820946,5,6.760834
-100.0,100,6.848921
-42.714879,54,6.900925
24.755694,5,6.905204
-100.0,100,6.992254
31.044225,5,6.996785
-33.958543,100,7.086348
14.659142,5,7.092469
83.461428,5,7.097242
-59.0,59,7.150503
27.925474,5,7.157079
-70.571863,100,7.244668
19.939584,5,7.250383
-70.0,70,7.313806
-89.0,89,7.393791
-8.0,8,7.401578
23.398138,5,7.406139
27.84978,5,7.410631
-2.597228,5,7.419197
-3.443701,6,7.423895
-0.621692,6,7.430573
-70.879613,89,7.508474
22.479193,5,7.514935
26.911593,5,7.519753
5.414659,5,7.526095
26.517265,5,7.530342
34.488221,5,7.536763
44.549743,6,7.544876
38.884123,5,7.54945
75.784782,5,7.553829
80.943859,5,7.560225
2.762756,5,7.566664
-12.0,12,7.577628
60.529177,5,7.581956
23.398138,5,7.588454
83.369626,5,7.592968
6.872504,5,7.599293
82.266327,5,7.603908
-100.0,100,7.694538
42.761187,5,7.699182
-46.0,46,7.742156
41.965975,6,7.746936
0.378308,5,7.753716
6.753172,5,7.760139
-2.595794,5,7.764842
-100.0,100,7.85255
-43.0,43,7.893863
-7.0,7,7.898799
5.76848,5,7.905603
23.944997,5,7.910236
75.623488,5,7.916793
-29.0,29,7.941119
-55.527634,100,8.029504
82.385228,5,8.035895
30.992276,5,8.042209
2.762756,5,8.046654
-40.0,41,8.084128
-13.571863,43,8.122965
-89.642149,96,8.210101
-6.0,6,8.216612
54.460241,5,8.221249
20.72662,5,8.225775
27.061681,5,8.232526
34.488221,5,8.239001
-56.569842,58,8.289492
1.185181,5,8.293326
20.231306,32,8.323779
-99.551743,100,8.412793
-8.220775,9,8.422395
33.550494,5,8.426688
29.80175,6,8.433115
-12.0,12,8.443499
50.776508,5,8.449914
9.832309,5,8.454362
9.840282,5,8.460883
31.100317,5,8.465389
-3.411635,5,8.471643
18.762863,5,8.476271
25.326204,5,8.482413
5.605237,13,8.493984
-16.571863,46,8.53499
-32.0,32,8.562948
32.251826,5,8.56933
30.405607,5,8.573609
36.952375,5,8.579792
46.007448,5,8.584388
-45.690775,66,8.645072
20.098759,5,8.651467
1.874051,5,8.656097
-100.0,100,8.748607
64.026429,5,8.755865
20.813564,5,8.760438
-80.711779,100,8.8492
-8.220775,9,8.859154
12.510575,5,8.865814
81.981305,5,8.870431
-2.731905,5,8.874697
-66.596094,67,8.936304
3.899147,5,8.942986
-8.0,8,8.950196
0.447195,5,8.956343
89.185175,5,8.960972
6.465427,5,8.967591
12.144599,5,8.972139
11.291755,5,8.978246
61.210571,5,8.982557
72.363578,5,8.990661
-1.64751,5,8.995443
9.45204,6,9.002162
-2.933018,6,9.00695
14.510091,5,9.015503
-2.53706,5,9.019748
0.845207,19,9.037803
-30.0,30,9.063069
-54.347929,62,9.12084
-3.329104,5,9.125797
54.112467,5,9.130337
-66.16235,100,9.218473
45.908376,5,9.225132
9.840282,5,9.231603
6.872504,5,9.235913
7.465273,5,9.240459
28.009945,5,9.246908
33.215115,5,9.253249
-24.0,25,9.274474
75.623488,5,9.279008
33.442836,5,9.285477
9.558567,34,9.316487
27.84978,5,9.321014
35.994339,5,9.325695
-81.0,82,9.402099
-3.032286,5,9.406529
-2.600296,5,9.41124
6.872504,5,9.417686
59.605723,5,9.424212
-7.818234,31,9.452271
1.831348,24,9.474011
-3.25865,5,9.478459
40.403091,5,9.484694
47.087997,5,9.489225
-2.166993,6,9.497231
83.8224,5,9.501905
79.070195,5,9.508582
-96.0,96,9.593145
23.578687,5,9.599386
-73.0,73,9.667773
45.897807,5,9.675139
27.925474,5,9.679675
24.578012,5,9.682578
12.144599,5,9.685101
23.398138,5,9.687533
47.730122,5,9.690006
19.365704,5,9.692467
