#{"t_start": 1752553834.5418494, "env_id": "None"}
r,l,t
-1.968083,6,0.036263
-4.50042,7,0.053206
-1.258342,6,0.067452
-1.968083,6,0.086516
-2.042746,6,0.093987
-19.654299,25,0.116018
0.422838,6,0.122885
-55.498185,56,0.171287
-98.524828,100,0.296629
-98.563245,100,0.389985
-9.563245,11,0.399884
-40.336105,48,0.441789
-92.336105,100,0.558338
-15.0,16,0.574461
-31.0,32,0.603695
-7.527611,10,0.611843
-73.023632,75,0.678244
-7.563245,9,0.685734
-37.498185,38,0.7187
-98.525447,100,0.806125
-24.174798,27,0.828778
-43.525447,45,0.870011
-19.524828,20,0.887096
-9.611553,11,0.895193
-24.497983,29,0.925408
-43.611553,45,0.965577
-100.0,100,1.049725
-19.0,19,1.067127
-25.0,25,1.088977
-30.611553,32,1.116448
-72.498185,73,1.178381
-96.498185,97,1.261791
-98.525447,100,1.36337
-88.477956,89,1.444603
-98.611553,100,1.535744
-54.611553,56,1.584509
-44.995274,48,1.626749
-31.524828,32,1.656508
-99.498185,100,1.74459
-98.525447,100,1.830915
-23.524828,25,1.853771
-59.0,59,1.905054
-51.0,51,1.946437
-69.0,69,2.006583
-22.611553,24,2.028329
-27.498185,28,2.052385
-82.525447,84,2.127856
-32.0,32,2.157482
-40.0,40,2.19495
-92.961149,100,2.280723
-31.681325,34,2.309588
-100.0,100,2.427503
-18.497637,21,2.453338
-27.498185,28,2.499816
-60.477956,61,2.559126
-8.0,8,2.566582
-48.98573,55,2.614698
-11.0,11,2.625085
-100.0,100,2.712728
-29.497637,31,2.739966
-70.023632,72,2.805781
-8.98573,15,2.819274
-97.497637,100,2.904344
-56.498185,57,2.953181
-3.470446,6,2.959472
-50.0,50,3.002955
-18.498185,19,3.020323
-98.611553,100,3.108403
-3.200892,6,3.115335
-5.961149,13,3.126302
-60.530395,63,3.18214
-3.200892,6,3.189901
-5.0,6,3.196542
-3.681325,6,3.203111
-22.498185,23,3.221762
-3.200892,6,3.228467
-38.50042,41,3.270194
-3.200892,6,3.276907
-57.611553,59,3.326702
-48.477956,49,3.371746
-98.0,99,3.457695
-41.0,41,3.4938
0.01427,6,3.498692
-99.498185,100,3.588343
-91.0,91,3.668043
-95.611553,97,3.75303
-35.497637,38,3.786733
-5.593385,6,3.791108
-7.498185,8,3.80035
-47.498185,48,3.841323
-100.0,100,3.926819
-54.0,55,3.97481
-14.498185,15,3.990593
-33.524828,35,4.019674
-50.498185,51,4.063794
-19.238566,21,4.081346
-46.498185,47,4.125698
-98.497637,100,4.213194
-4.050894,7,4.219782
-46.498185,47,4.259882
-34.611553,36,4.319374
-8.525447,10,4.32735
-59.498185,60,4.378872
-99.498185,100,4.468202
-93.611553,95,4.551318
-46.525447,48,4.592912
-98.611553,100,4.692477
-99.498185,100,4.730498
-98.611553,100,4.767969
-98.497637,100,4.805613
-98.525447,100,4.843618
-29.477956,30,4.879536
-59.0,59,4.931954
-98.497637,100,5.024247
-10.0,10,5.031957
-99.498185,100,5.123301
-9.498185,10,5.133641
-20.498185,21,5.158286
-16.978948,20,5.182529
-94.0,94,5.305048
-29.0,29,5.331264
-90.0,90,5.410072
-13.022464,16,5.424428
-17.238566,19,5.440814
-92.384413,100,5.529855
-75.978948,79,5.6021
-52.022464,56,5.652808
-63.023632,65,5.710733
-15.0,15,5.725396
-100.0,100,5.814399
-92.384413,100,5.902451
-82.654299,87,5.97876
-3.265829,6,5.985471
-76.978948,80,6.058372
-6.022464,8,6.065891
0.01427,6,6.071629
-3.050894,6,6.078178
-16.611553,18,6.095619
-0.265852,6,6.103031
-2.549079,6,6.109116
-0.265852,6,6.117796
-99.0,100,6.207478
-3.200892,6,6.212478
-97.050894,100,6.30329
-2.078156,6,6.310546
-100.0,100,6.40326
-35.265852,41,6.438896
-98.022464,100,6.527244
1.615587,6,6.534087
-19.0,19,6.551091
-3.200892,6,6.557849
-2.50042,6,6.562828
-98.611553,100,6.649467
-69.0,69,6.714702
-12.549079,16,6.729116
-36.549079,40,6.763145
-8.498185,9,6.770638
-3.722936,6,6.777333
-86.0,86,6.852898
-45.549079,49,6.898317
-58.498185,59,6.951859
-83.0,83,7.025965
-2.078156,6,7.031146
-2.078156,6,7.0381
-3.050894,6,7.042481
-12.265852,18,7.061842
-39.654299,44,7.100842
-3.050894,6,7.105482
-21.98573,28,7.130379
-45.549079,49,7.174655
-95.654299,100,7.260586
-2.508026,6,7.267455
-12.0,12,7.278203
-0.638081,6,7.285345
-2.508026,6,7.292247
-2.50042,6,7.29744
-73.0,73,7.361374
-3.200892,6,7.36838
-21.498185,22,7.388898
-4.200892,7,7.394003
-26.384413,34,7.42426
-60.654299,65,7.481855
-23.265852,29,7.506347
-38.022464,41,7.543652
-49.0,49,7.586339
-64.611553,66,7.644844
-59.654299,64,7.699186
-9.549079,13,7.712137
-15.022464,17,7.727783
-2.384413,10,7.737986
-13.654299,18,7.754825
-2.438702,6,7.761214
-17.438702,21,7.780844
-12.0,12,7.793502
-41.477956,42,7.828722
-2.654299,7,7.8355
-2.549079,6,7.840421
-28.995274,32,7.869838
-51.995274,55,7.918407
-4.023632,6,7.925034
-63.477956,64,7.98148
-46.384413,54,8.029052
-35.384413,43,8.068135
-50.0,50,8.110108
-59.330136,62,8.164513
-0.638081,6,8.171695
-4.497637,6,8.17829
-7.0,7,8.185045
-78.384413,86,8.258241
-100.0,100,8.348065
-2.078156,6,8.354624
-35.549079,39,8.388439
-96.549079,100,8.474988
-12.244981,15,8.490855
-3.265829,6,8.497296
-52.0,52,8.541857
-5.764013,9,8.549632
-94.265852,100,8.641984
-78.611553,80,8.710699
-2.978948,6,8.715736
-10.617017,13,8.728358
-97.022464,100,8.817358
-3.050894,6,8.822064
-3.050894,6,8.828501
-2.078156,6,8.83346
-10.0,10,8.845591
-16.722936,19,8.865203
-27.563245,29,8.891697
-2.508026,6,8.896681
-7.022464,10,8.908641
-7.050894,10,8.916671
-23.995274,28,8.941065
-0.98573,7,8.947853
-34.611553,36,8.98141
-17.238566,19,8.998532
-74.0,74,9.062505
0.01427,6,9.069287
-98.022464,100,9.157379
-54.022464,58,9.207717
-96.978948,100,9.294374
-59.0,59,9.346074
-21.0,21,9.366253
-19.995274,24,9.387439
-96.995274,100,9.437207
-98.022464,100,9.475052
-94.265852,100,9.513634
-96.549079,100,9.551597
-97.050894,100,9.589607
-28.198109,30,9.624102
-97.050894,100,9.709
-2.473229,6,9.715112
-2.473229,6,9.72253
-2.549079,6,9.727376
-29.0,29,9.754359
-20.0,20,9.77442
-50.498185,51,9.816642
-17.995274,22,9.837012
-1.654299,6,9.842366
-98.022464,100,9.93145
-72.995274,76,9.998212
-10.498185,11,10.008205
-46.265852,52,10.053953
-13.022464,15,10.069433
-3.050894,6,10.074014
-25.549079,29,10.100192
-7.995274,11,10.108728
-98.022464,100,10.196233
-58.022464,60,10.248159
-9.498185,10,10.257553
-21.549079,25,10.278638
0.01427,6,10.287342
-26.265852,32,10.315624
-2.473229,6,10.320562
-0.638081,6,10.327125
-0.265852,6,10.333955
-95.654299,100,10.419518
-59.764013,63,10.475521
-7.549079,11,10.489894
-2.549079,6,10.49706
-0.265852,6,10.503908
-4.198109,6,10.50847
-29.498185,30,10.536101
-3.050894,6,10.542642
-94.265852,100,10.628145
-1.654299,6,10.634821
-19.611553,21,10.652878
-34.265852,40,10.691408
-66.265852,72,10.753731
-40.995274,45,10.79238
-15.0,15,10.805811
-44.115202,47,10.848631
-52.265852,58,10.897563
-3.200892,6,10.907153
-3.722936,6,10.911811
-95.654299,100,10.999424
-2.508026,6,11.005922
-96.0,96,11.089245
-56.0,56,11.136776
-4.720153,6,11.144149
-0.638081,6,11.150771
-81.022464,83,11.220198
-100.0,100,11.305964
-92.0,92,11.385912
-53.0,53,11.436368
-83.0,83,11.505825
-85.0,85,11.580196
-4.238566,6,11.587555
-61.0,61,11.639365
-17.995274,21,11.659204
-2.473229,6,11.664178
-100.0,100,11.75547
-29.498185,30,11.782073
-47.995274,51,11.824974
-11.023632,13,11.837893
-2.078156,6,11.844789
-94.265852,100,11.930791
-64.498185,65,11.987433
-98.022464,100,12.073617
-67.0,67,12.134778
-14.995274,18,12.151742
-34.0,34,12.1796
-0.869895,6,12.186232
-0.265852,6,12.193152
-90.0,90,12.276926
-62.498185,63,12.331521
-0.265852,6,12.33838
-12.0,13,12.351135
-77.654299,82,12.421734
-37.978948,41,12.456635
-13.978948,17,12.472961
-2.508026,6,12.481618
-11.384413,19,12.497318
-40.477956,41,12.533624
-3.050894,6,12.538215
-72.022464,74,12.604074
-2.078156,6,12.609072
-3.022464,6,12.615267
-1.265852,7,12.620328
-3.050894,6,12.628831
-2.695745,6,12.633736
-2.549079,6,12.640424
0.01427,6,12.645299
-1.968083,6,12.653574
-3.050894,6,12.65827
-13.995274,17,12.674459
-2.995274,6,12.679051
-2.078156,6,12.687566
-38.549079,42,12.722775
-2.078156,6,12.729456
-96.549079,100,12.816922
-100.0,100,12.902915
-2.508026,6,12.907868
-15.0,15,12.920763
-72.330136,75,12.985337
-17.498185,18,13.001479
-30.654299,35,13.031994
-57.050894,60,13.083405
-40.722936,43,13.122374
-22.549079,26,13.145971
-85.025248,88,13.222876
-2.508026,6,13.229594
-3.200892,6,13.234467
-55.0,55,13.284644
-100.0,100,13.370203
-100.0,100,13.454564
-17.654299,22,13.47263
-100.0,100,13.559698
-100.0,100,13.645672
-64.498185,65,13.704789
-18.611553,20,13.722011
-26.497637,28,13.748093
-10.023632,12,13.758617
-2.078156,6,13.763498
-33.498185,34,13.793801
-0.349596,6,13.800564
-3.050894,6,13.806918
-2.549079,6,13.811832
-0.265852,6,13.81847
-27.654299,32,13.848168
-56.0,56,13.897496
-2.764013,6,13.902176
-2.549079,6,13.908948
-100.0,100,14.001113
-2.50042,6,14.036853
-98.022464,100,14.074161
-97.050894,100,14.111252
-98.611553,100,14.148762
-100.0,100,14.186614
0.22714,6,14.20382
-2.978948,6,14.209034
1.615587,6,14.215792
0.674868,6,14.221626
1.615587,6,14.228468
-7.498185,8,14.235329
-100.0,100,14.345991
-15.0,15,14.362406
-4.238566,6,14.366924
-2.508026,6,14.374114
-2.508026,6,14.379597
-25.654299,30,14.410033
-2.508026,6,14.415291
-3.022464,7,14.422721
-2.022464,6,14.427979
0.22714,6,14.436579
-0.929176,7,14.443626
-2.547292,6,14.448556
-23.0,23,14.469354
-0.265852,6,14.476366
0.22714,6,14.483228
-100.0,100,14.57206
-2.978948,6,14.577211
-4.527611,8,14.586408
0.22714,6,14.593305
-3.480763,6,14.598591
-100.0,100,14.686184
-1.968083,6,14.695274
-0.265852,6,14.700138
-2.549079,6,14.70841
-2.078156,6,14.713514
-2.549079,6,14.722489
-46.477956,47,14.764901
-2.078156,6,14.77002
0.01427,6,14.776937
-2.022464,6,14.784179
-24.0,24,14.805534
-3.022464,6,14.812347
-100.0,100,14.902312
-7.477956,8,14.911302
-42.0,42,14.947615
-0.265852,6,14.954589
-0.265852,6,14.959596
-3.549079,7,14.968689
-0.265852,6,14.973742
-1.968083,6,14.980619
-0.265852,6,14.985898
-3.050894,6,14.994573
-1.968083,6,14.9997
-1.654299,6,15.006405
-1.968083,6,15.011501
-29.0,29,15.040596
-1.968083,6,15.045426
-2.078156,6,15.052294
-100.0,100,15.142205
-2.438702,6,15.148655
-100.0,100,15.238972
0.01427,6,15.245936
-1.654299,6,15.250897
-47.0,48,15.295794
-2.549079,6,15.302558
-1.968083,6,15.307643
-40.198109,42,15.346556
-2.078156,6,15.353681
-0.265852,6,15.360635
-71.050894,74,15.428112
-33.0,33,15.456707
-2.078156,6,15.465683
-3.078156,7,15.472859
-26.525447,28,15.498639
-15.477956,16,15.513299
-30.0,30,15.541909
-2.549079,6,15.548901
-16.0,16,15.563422
-2.549079,6,15.568889
-1.968083,6,15.578143
-3.050894,6,15.583044
-2.078156,6,15.590912
-1.265852,7,15.596114
-12.477956,13,15.611412
-100.0,100,15.700084
-38.524828,39,15.734876
-14.498185,15,15.748953
-18.0,18,15.769057
-2.549079,6,15.774107
0.01427,6,15.781122
-53.98573,60,15.839259
-25.611553,27,15.864368
-0.349596,6,15.872817
-100.0,100,15.96435
0.01427,6,15.970026
-15.0,15,15.986306
-100.0,100,16.075485
-18.498185,19,16.093496
-0.265852,6,16.098591
-15.498185,16,16.115122
-2.695745,6,16.122176
-2.695745,6,16.127476
-30.98573,37,16.162682
-100.0,100,16.25488
-11.498185,12,16.265454
-2.438702,6,16.269947
-100.0,100,16.357836
-0.265852,6,16.366993
-2.695745,6,16.372107
-1.968083,6,16.379004
-1.995274,6,16.384166
-0.265852,6,16.393148
-0.265852,6,16.39835
-2.549079,6,16.405057
-2.293091,6,16.409817
-82.0,82,16.487778
-28.0,28,16.513211
-90.654299,95,16.599349
-2.508026,6,16.606204
-22.654299,27,16.633126
-64.0,64,16.691149
-0.265852,6,16.696244
-100.0,100,16.785159
-68.050894,71,16.851552
-17.0,17,16.866585
-3.978948,7,16.873878
-2.473229,6,16.878996
-2.473229,6,16.888105
-32.0,32,16.916625
-0.349596,6,16.921695
-19.0,19,16.939861
-46.022464,49,16.985812
-2.50042,6,16.992964
-39.0,40,17.028613
-100.0,100,17.118295
-14.654299,19,17.139481
-100.0,100,17.230422
-3.695745,7,17.235967
-0.265852,6,17.243088
-2.549079,6,17.251326
-37.0,37,17.28618
-0.265852,6,17.291292
0.01427,6,17.298332
-100.0,100,17.389475
-0.349596,6,17.394548
-21.0,21,17.412824
1.615587,6,17.419888
-2.978948,6,17.427021
-73.0,73,17.493431
-19.027262,20,17.51491
-1.968083,6,17.519982
-2.695745,6,17.529073
-8.0,8,17.536437
-2.520101,6,17.541871
-44.027262,45,17.583241
-6.002784,7,17.592034
-1.654299,6,17.598947
-79.654299,84,17.674903
-0.869895,6,17.680031
-43.654299,48,17.724776
0.01427,6,17.73175
-2.978948,6,17.736892
-16.0,16,17.751187
-79.0,79,17.826006
-30.0,31,17.854739
-2.695745,6,17.859856
-0.265852,6,17.866831
-53.0,53,17.916553
-2.549079,6,17.921692
-61.0,61,17.977706
-75.98573,82,18.051775
-23.0,23,18.075706
-42.0,42,18.112983
-17.498185,18,18.130215
-1.654299,6,18.135197
-24.0,24,18.158878
-3.767644,6,18.16533
-45.349596,51,18.21172
-1.654299,6,18.216449
-13.498185,14,18.232144
-1.738043,6,18.236385
-100.0,100,18.327435
0.01427,6,18.334581
-98.611553,100,18.426947
-7.0,7,18.431869
-78.0,78,18.501928
-2.549079,6,18.507097
-1.654299,6,18.516116
-2.695745,6,18.521261
-22.0,22,18.541862
-1.968083,6,18.546929
-60.0,60,18.602316
-0.265852,6,18.609339
-67.0,67,18.670219
0.674868,6,18.675371
-3.050894,6,18.684081
-2.549079,6,18.689277
-2.520101,6,18.696183
-2.520101,6,18.701351
-3.050894,6,18.710379
-2.520101,6,18.715582
-4.023632,6,18.722283
-3.050894,6,18.727108
-1.258342,6,18.735977
-52.0,52,18.782336
-0.265852,6,18.787649
-1.001947,6,18.794326
-1.654299,6,18.801152
-42.0,42,18.840454
-6.0,6,18.845012
-10.0,10,18.857032
1.615587,6,18.864344
-55.0,55,18.914068
-100.0,100,18.954105
0.01427,6,18.957068
-100.0,100,18.997219
1.615587,6,19.000184
0.01427,6,19.003128
-4.115202,7,19.021584
-3.050894,6,19.02966
-20.0,20,19.051421
-3.552709,6,19.057486
-3.042746,6,19.065582
-33.654299,38,19.106527
-2.654299,7,19.115952
-3.722936,6,19.121883
-2.549079,6,19.130672
-1.654299,6,19.137037
-2.549079,6,19.148014
-100.0,100,19.26208
-3.497637,6,19.268506
-4.022464,7,19.277607
-4.023632,6,19.28812
-49.050894,52,19.344542
-60.0,60,19.41006
-0.265852,6,19.416811
-0.265852,6,19.428238
-2.520101,6,19.435074
-1.349596,7,19.444303
-0.265852,6,19.45129
-2.549079,6,19.462709
-0.349596,6,19.469136
-2.549079,6,19.477935
-46.477956,47,19.529984
-43.0,44,19.57983
-51.0,51,19.634776
-2.508026,6,19.643814
-2.508026,6,19.65052
-28.654299,33,19.688965
-2.078156,6,19.694098
-7.050894,10,19.706602
-2.078156,6,19.71283
-2.508026,6,19.723944
-3.480763,6,19.730062
-40.0,41,19.777724
-62.0,62,19.846345
-62.050894,65,19.919881
-71.050894,74,20.001038
0.01427,6,20.005893
0.01427,6,20.012529
-1.968083,6,20.019467
-45.0,45,20.065523
-2.078156,6,20.074622
-1.800397,6,20.079065
-2.549079,6,20.087782
-26.654299,31,20.115975
-0.869895,6,20.121307
-2.078156,6,20.12983
-0.349596,6,20.1388
-1.654299,6,20.148971
-0.349596,6,20.15536
-2.549079,6,20.164393
-100.0,100,20.282657
-97.050894,100,20.375006
-0.265852,6,20.379909
-50.0,50,20.439995
-1.654299,6,20.449313
-2.978948,6,20.458776
-16.0,17,20.477756
-2.508026,6,20.484587
-42.050894,45,20.534878
-3.722936,6,20.540963
-79.0,79,20.635088
-2.549079,6,20.641691
-1.349596,7,20.653152
-1.995274,6,20.662344
-2.654299,7,20.668649
-8.477956,9,20.681043
1.615587,6,20.68926
-3.022464,6,20.697759
-1.968083,6,20.704351
-5.027262,6,20.713249
-1.968083,6,20.722243
-2.078156,6,20.731495
-0.869895,6,20.738297
-1.654299,7,20.747999
-0.869895,6,20.756883
-1.298581,6,20.765191
-1.654299,7,20.774389
-2.078156,6,20.780812
0.01427,6,20.792106
-1.968083,6,20.79856
-0.869895,6,20.806864
-25.198109,27,20.82989
-1.995274,6,20.840805
-2.520101,6,20.847183
-2.078156,6,20.856133
-2.978948,6,20.862475
0.375527,7,20.873704
-99.0,99,20.986709
-10.022464,14,21.001129
-1.995274,6,21.009397
-22.498185,23,21.037516
-2.549079,6,21.043291
-2.695745,6,21.050967
-100.0,100,21.158698
-60.0,60,21.215468
-68.498185,69,21.275996
-26.525447,28,21.30485
-10.611553,12,21.317392
-3.050894,6,21.32581
-2.078156,6,21.334331
-2.078156,6,21.340427
-1.968083,6,21.349481
-2.078156,6,21.358384
-3.050894,6,21.364832
-1.298581,6,21.369711
-0.265852,6,21.376135
-0.265852,6,21.383896
-98.198109,100,21.488364
-0.265852,6,21.495733
-39.0,39,21.807558
-2.995274,6,21.813776
-39.0,39,21.847917
-81.0,82,21.917449
-99.027262,100,22.00499
-37.654299,42,22.04387
1.615587,6,22.04885
-2.978948,6,22.055555
-100.0,100,22.143813
-2.978948,6,22.150084
-34.050894,37,22.184008
-34.0,34,22.212291
-2.078156,6,22.219047
-2.654299,7,22.225206
-2.978948,6,22.231928
0.434808,7,22.238995
-2.695745,6,22.243992
-1.995274,6,22.251532
-1.654299,6,22.256348
-2.438702,6,22.262808
-0.713579,6,22.268719
-10.0,10,22.280776
