#{"t_start": 1752541014.5045242, "env_id": "None"}
r,l,t
25.601267,12,0.027794
38.487114,37,0.164722
1.266663,25,0.18643
13.315241,4,0.190362
33.476343,4,0.194293
0.0,100,0.283822
5.438017,47,0.325838
0.0,100,0.414626
15.143475,22,0.432974
26.044918,4,0.438147
1.395525,89,0.537964
-0.591589,2,0.540987
15.383484,55,0.588642
31.84732,84,0.662715
7.185421,23,0.683137
21.224316,54,0.730596
-1.0,52,0.775532
0.0,100,0.861544
57.934158,4,0.865495
42.822016,4,0.869577
0.0,100,0.956841
20.769538,4,0.961938
22.393202,4,0.965828
0.403906,100,1.096876
53.87653,4,1.101177
0.0,100,1.190357
2.247863,3,1.193861
-0.540175,96,1.278539
-1.0,16,1.293689
33.476343,4,1.298858
13.285805,4,1.302797
18.40956,7,1.308414
0.429396,100,1.39742
43.242557,5,1.404409
16.681981,86,1.479148
-1.0,5,1.483062
11.075202,4,1.486975
1.244317,4,1.491759
5.479313,100,1.580054
56.88449,4,1.58403
16.014842,100,1.699331
-1.0,63,1.759024
24.422921,18,1.775554
57.879627,4,1.779578
21.334272,4,1.783851
1.438989,51,1.827824
0.421365,3,1.831309
2.81309,100,1.938195
49.271467,72,2.001344
22.393202,4,2.006484
-0.670258,63,2.061631
40.881181,100,2.156012
0.0,100,2.241971
1.434174,46,2.289787
2.251337,100,2.377915
32.784256,62,2.433544
67.275772,4,2.438012
0.0,100,2.524624
0.0,100,2.629862
4.564339,57,2.678717
2.394427,3,2.682452
0.570831,2,2.684209
4.14737,15,2.698438
0.498354,20,2.716498
38.907199,4,2.720402
31.287229,5,2.725164
2.215213,3,2.728814
35.912502,5,2.73335
4.193553,3,2.737065
6.520837,5,2.74228
-1.0,15,2.755656
13.486782,5,2.759835
59.72297,4,2.763909
25.582865,5,2.770862
56.793774,4,2.77571
10.338774,67,2.835353
0.192906,3,2.839127
37.316852,48,2.883527
-1.0,55,2.932701
0.0,100,3.02503
4.468386,4,3.029238
51.079851,5,3.035205
-0.622416,3,3.038467
1.465075,13,3.049392
4.211687,4,3.05351
57.482566,5,3.058478
18.898982,4,3.062681
6.75098,100,3.151734
0.883018,9,3.162066
11.218206,52,3.210302
17.56424,4,3.214386
4.141112,100,3.310733
4.387831,4,3.314902
0.756593,100,3.404103
1.292808,2,3.405314
1.596347,3,3.40879
0.0,100,3.503746
1.429608,35,3.536447
-1.0,28,3.560978
0.709909,3,3.562646
54.431353,53,3.610177
34.87354,4,3.615128
8.973599,4,3.619064
2.86481,2,3.620193
3.696161,4,3.624174
11.075202,4,3.628803
0.659052,26,3.65591
0.0,100,3.743522
3.696161,81,3.815319
-1.0,56,3.866161
9.830586,5,3.871149
-0.133686,21,3.88997
1.479112,100,3.982305
2.194089,3,3.986831
13.285805,4,3.991856
21.800718,4,3.995809
7.36399,4,3.999804
0.0,100,4.094545
-1.0,54,4.144099
33.476343,4,4.148335
2.81309,100,4.260657
19.591655,4,4.265518
0.0,100,4.352306
1.136217,100,4.441205
0.0,100,4.529128
8.113238,100,4.626574
3.09708,3,4.628326
12.731532,4,4.633054
4.053449,5,4.639001
83.812851,4,4.645829
0.429396,100,4.740123
0.0,100,4.840356
0.0,100,4.878409
0.0,100,4.915346
26.044918,4,4.917376
5.140001,4,4.91969
8.57924,6,4.933866
6.788841,5,4.938157
33.476343,4,4.943242
1.171858,4,4.947185
4.211687,4,4.951155
61.718143,17,4.965081
17.758107,4,4.969908
0.403906,100,5.05765
4.211687,4,5.061693
-0.235487,17,5.078241
-1.0,45,5.120467
13.553183,4,5.124425
57.468784,4,5.128339
49.757604,16,5.143072
17.004414,3,5.148121
1.17223,4,5.152055
9.406032,4,5.156119
25.582865,4,5.160236
11.709061,4,5.165661
35.842967,4,5.169689
2.989565,3,5.171484
32.606143,4,5.175707
0.0,100,5.264936
15.620164,100,5.354686
0.0,100,5.442317
8.708635,4,5.446352
17.758107,4,5.451959
63.817845,100,5.54325
1.171858,5,5.549234
-1.0,45,5.592433
1.434174,13,5.604545
11.561939,4,5.608526
1.292808,2,5.611793
-1.0,14,5.623236
8.973599,4,5.628538
4.373292,5,5.63269
0.866314,100,5.718486
8.388221,4,5.722452
0.0,100,5.810273
0.0,100,5.900503
12.504856,3,5.904195
-1.0,21,5.92239
-1.0,15,5.937364
30.106951,4,5.941595
1.596347,3,5.945463
39.881181,99,6.031573
27.689531,4,6.037249
38.907199,4,6.041188
38.844867,45,6.081277
21.811288,30,6.107115
0.0,100,6.201501
39.881181,84,6.276357
16.920087,99,6.361468
-1.0,18,6.378096
3.500459,4,6.383187
62.00876,66,6.440748
10.370874,4,6.445158
16.89943,100,6.537346
1.795075,90,6.616427
0.0,100,6.704338
41.357814,4,6.708332
1.248321,4,6.712407
37.306621,4,6.717629
0.881222,5,6.722162
0.0,100,6.808373
0.0,100,6.895028
0.0,100,6.982222
24.953166,4,6.986166
0.0,100,7.077986
6.980078,4,7.082206
13.610957,3,7.087739
0.881222,6,7.093288
0.0,100,7.210994
21.088735,4,7.215925
2.86481,58,7.270435
0.764513,100,7.35797
-1.0,25,7.378833
40.51135,4,7.383214
7.417471,4,7.389022
13.675302,4,7.393228
2.423566,100,7.480354
-1.0,23,7.500589
21.800033,4,7.50611
4.311582,4,7.51035
3.591283,4,7.515042
37.028815,4,7.519058
22.186478,4,7.524513
-1.0,42,7.560021
8.042055,4,7.563935
0.392505,100,7.652301
3.92377,3,7.65753
4.189291,4,7.661571
-1.0,11,7.673652
17.758107,4,7.677991
0.44298,100,7.7665
21.811648,4,7.770628
34.702867,5,7.775024
11.886863,4,7.779104
8.338319,4,7.784679
0.116523,5,7.789234
8.640732,33,7.820834
1.21637,5,7.827554
31.287229,57,7.880895
1.465075,69,7.942364
-0.591589,2,7.945369
0.935646,3,7.947012
0.130729,4,7.952683
-1.0,17,7.970078
1.794584,4,7.974079
8.338319,4,7.978176
0.935646,3,7.981183
21.800033,5,7.987165
17.894105,3,7.98876
1.596347,3,7.993343
10.124647,4,7.998809
1.051836,4,8.003123
-1.0,3,8.006689
0.0,100,8.095438
0.0,100,8.186241
41.469043,4,8.190389
31.819962,4,8.19407
-1.0,3,8.196857
25.582865,4,8.202396
0.85986,5,8.207085
29.413731,5,8.211242
29.373508,3,8.214971
5.088092,100,8.305015
0.0,100,8.394665
0.0,100,8.482461
0.87378,5,8.48728
-1.0,78,8.55636
-0.596094,98,8.644097
12.731532,4,8.648238
5.098655,41,8.684004
2.956171,2,8.68855
34.534909,19,8.706792
0.0,100,8.865051
4.189291,4,8.870704
3.214094,3,8.873946
11.395579,4,8.878186
4.468386,4,8.882259
1.946777,100,8.968835
-1.0,64,9.027715
0.864717,6,9.034137
0.498354,60,9.085587
20.184301,5,9.090126
89.930433,4,9.095563
-0.229359,84,9.16958
23.812837,4,9.173584
3.93395,67,9.232772
16.15642,5,9.238686
4.112334,3,9.242301
0.0,100,9.3284
59.478533,59,9.380907
29.57191,4,9.386512
22.26865,65,9.444022
19.950981,4,9.448035
1.417674,83,9.523387
3.696161,3,9.526712
9.720705,4,9.563981
0.114224,4,9.566081
0.0,100,9.603839
0.0,100,9.640254
23.668469,100,9.676598
1.248321,5,9.690909
33.518438,4,9.695509
27.322746,4,9.6994
0.136217,5,9.704857
-1.0,24,9.725876
-0.595794,47,9.766411
0.0,100,9.854764
33.928136,4,9.860285
30.226336,4,9.86422
-0.249507,2,9.86534
57.315136,4,9.86935
0.847799,6,9.877064
5.438017,4,9.880953
-1.0,26,9.902666
10.759425,4,9.906723
17.936787,7,9.914884
27.847706,100,10.000368
24.532521,4,10.004413
33.476343,4,10.008299
25.582865,4,10.013733
10.441617,57,10.06263
21.800718,4,10.066887
1.839587,97,10.153293
21.800718,4,10.159011
5.438017,4,10.162996
9.393954,4,10.166909
47.474475,4,10.171014
15.952543,3,10.176093
10.564719,26,10.199187
0.0,100,10.284853
8.737999,4,10.288615
2.989274,42,10.326591
0.0,100,10.412122
5.034683,6,10.419364
-1.0,48,10.461496
4.752808,4,10.467045
44.013535,4,10.470997
-0.670258,20,10.488104
1.438989,7,10.493677
8.658926,4,10.499323
27.04006,4,10.503491
40.51135,5,10.509516
1.438989,53,10.555376
0.0,100,10.643959
-1.0,14,10.654772
1.894085,100,10.741051
0.87378,5,10.747326
8.098711,4,10.753045
32.971584,4,10.756939
26.735897,4,10.76082
54.072397,4,10.764801
0.0,100,10.851756
4.286547,4,10.85586
-1.0,3,10.857083
2.989565,3,10.860515
0.0,100,10.951446
59.229564,4,10.955487
11.075202,4,10.959414
30.017918,100,11.046871
8.681575,3,11.052039
56.80701,4,11.055947
-0.249507,9,11.063087
1.438989,76,11.127924
67.275772,4,11.133712
30.632206,4,11.137806
32.275566,4,11.141844
0.421737,3,11.145518
28.016849,5,11.151173
6.788841,5,11.155624
-1.0,52,11.201041
3.536054,3,11.205118
2.568266,2,11.209527
0.709909,38,11.240774
27.322746,4,11.24474
0.0,100,11.330472
11.749318,4,11.336161
0.403906,100,11.419867
11.856059,4,11.424002
-0.596094,84,11.495533
9.993208,20,11.514388
10.338774,3,11.517776
33.476343,4,11.523026
50.136945,4,11.527271
22.26865,70,11.586252
1.417674,35,11.616395
5.009186,4,11.620368
12.174654,3,11.623799
0.0,100,11.711121
4.6895,5,11.715264
0.0,100,11.799336
4.300899,4,11.803374
29.869237,4,11.808842
-1.0,64,11.86258
8.535219,4,11.866906
-1.0,15,11.881001
21.554465,100,11.969179
10.791991,4,11.973165
5.75098,76,12.038533
0.0,100,12.12348
33.476343,4,12.129019
0.935646,3,12.132453
1.21637,5,12.136822
1.292808,2,12.138127
-1.0,10,12.14908
35.912502,6,12.153709
10.393954,100,12.238596
4.752808,5,12.244655
0.0,100,12.331739
30.178728,4,12.3358
13.287767,5,12.340265
88.528038,4,12.344182
-1.0,93,12.425039
1.661081,100,12.512182
0.0,100,12.595553
3.696161,3,12.599095
0.584807,100,12.684799
-1.0,32,12.712389
47.221024,4,12.716326
4.373292,4,12.720232
1.17223,4,12.725833
0.464703,3,12.730252
13.87586,3,12.731865
4.373292,4,12.735734
1.051836,4,12.741743
1.465075,4,12.745633
0.0,100,12.834385
5.483256,4,12.838444
60.008183,4,12.843998
39.881181,34,12.873734
0.764513,100,12.959125
22.302278,5,12.963753
12.622438,69,13.025939
-1.0,1,13.028491
-0.252482,2,13.029663
34.327979,5,13.033765
0.0,100,13.123574
61.478271,4,13.127649
30.094112,4,13.131639
12.174654,3,13.135124
0.0,100,13.220234
17.645978,92,13.29748
33.121709,5,13.302055
5.462258,62,13.354989
-0.243407,27,13.380679
5.088092,100,13.46568
46.148691,37,13.497287
0.689866,70,13.558866
15.93187,5,13.566983
-0.198827,8,13.573622
0.0,100,13.65774
57.934158,5,13.661946
0.0,100,13.752601
2.394427,3,13.756145
1.051836,5,13.760018
-1.0,9,13.767174
3.740058,4,13.773129
59.229564,4,13.777363
59.478533,16,13.793263
0.0,100,13.881445
-1.0,70,13.947556
0.464703,3,13.949288
29.611389,100,14.034215
5.438017,4,14.038283
3.696161,3,14.043574
1.171858,5,14.047803
16.514353,4,14.051987
10.370874,4,14.055955
13.890489,4,14.061224
32.702527,4,14.065184
41.357814,4,14.069254
20.769538,4,14.073172
13.486782,4,14.07858
-1.0,37,14.111133
20.100653,5,14.115079
0.0,100,14.155853
17.56424,4,14.157953
0.0,100,14.193582
0.0,100,14.229077
0.0,100,14.265115
17.936787,5,14.276268
9.568824,4,14.281587
12.786161,4,14.285937
39.460413,4,14.290272
3.420529,4,14.294719
-1.0,66,14.357297
3.09708,3,14.361223
-1.0,2,14.36213
16.878487,100,14.446906
27.322746,4,14.452533
0.584807,100,14.538072
12.622438,14,14.551417
22.25271,6,14.555826
46.422043,4,14.561409
0.0,100,14.646429
26.044918,4,14.650508
1.550075,5,14.656849
18.301867,3,14.660043
0.0,100,14.745895
3.564064,3,14.74953
8.331362,17,14.763988
0.0,100,14.852706
17.734094,4,14.856952
17.054284,3,14.861185
7.955853,4,14.865301
51.607554,4,14.872498
5.088092,100,14.959412
45.415518,4,14.963493
9.634897,5,14.967955
28.137132,4,14.97342
1.051836,4,14.977365
23.095048,4,14.981254
12.731532,4,14.985165
1.794584,5,14.992748
-1.0,78,15.058588
-1.0,89,15.146813
17.096555,4,15.151339
1.794584,4,15.157394
0.0,100,15.248804
0.0,100,15.33437
0.0,100,15.420409
4.211687,5,15.428058
10.791991,4,15.432085
6.162527,5,15.436681
0.0,100,15.523076
-1.0,43,15.565372
0.0,100,15.650279
13.287767,5,15.654937
45.382694,4,15.658859
0.0,100,15.765021
2.989565,3,15.768875
37.517334,5,15.773513
-0.243407,47,15.817517
-1.0,3,15.820412
-1.0,25,15.842921
59.229564,4,15.846923
8.57924,5,15.851444
0.0,100,15.940734
3.740058,4,15.944801
21.606545,4,15.948668
-1.0,32,15.976384
0.0,100,16.072976
0.0,100,16.159578
4.012338,100,16.245616
38.686558,4,16.250283
60.674594,4,16.255797
1.794584,4,16.259744
0.0,100,16.34872
3.591283,4,16.352473
4.189291,4,16.35903
26.044918,4,16.363045
-0.595794,64,16.419832
0.0,100,16.506606
6.75098,100,16.593392
3.874641,4,16.597457
17.758107,4,16.601388
60.478533,100,16.691043
-1.0,76,16.758078
0.0,100,16.843413
57.327657,4,16.847483
0.0,100,16.93282
0.0,100,17.020173
18.154317,5,17.024383
3.874641,4,17.02863
36.28467,5,17.032733
0.0,100,17.119958
1.248321,4,17.123947
1.171858,4,17.127874
19.262966,4,17.13177
6.474007,4,17.137229
44.481232,4,17.141186
-0.596094,13,17.154257
8.640732,4,17.158175
0.429928,100,17.24519
29.57191,4,17.249243
1.292808,2,17.250453
-1.0,60,17.303838
0.0,100,17.389739
2.229216,100,17.476909
0.935646,3,17.480478
0.0,100,17.56529
4.373292,4,17.570964
20.399499,4,17.575085
19.262966,4,17.579021
3.564064,3,17.582473
4.300899,4,17.587788
10.791991,5,17.591954
53.022078,4,17.595905
60.003368,6,17.600237
4.823106,4,17.605567
12.362977,5,17.612151
59.229564,4,17.616049
30.816635,4,17.61997
29.542999,69,17.680976
0.404206,100,17.770743
13.553183,5,17.774956
2.989565,3,17.778194
15.83661,4,17.783705
53.022078,4,17.787688
0.108227,39,17.82383
4.956113,4,17.8278
1.114224,100,17.916644
0.479112,4,17.920392
10.795343,4,17.924339
1.709909,100,18.010102
20.399499,4,18.015822
1.946777,100,18.102355
-1.0,79,18.170203
33.476343,4,18.174265
17.188634,4,18.179995
27.322746,4,18.18402
-1.0,26,18.207515
1.946777,100,18.293051
5.863735,6,18.299236
3.816738,24,18.322523
0.398179,100,18.407053
0.756593,100,18.495288
-1.0,7,18.503462
52.011516,4,18.507525
9.107739,4,18.511501
0.421561,3,18.514884
0.0,100,18.601278
0.0,100,18.688329
1.17223,4,18.692362
2.886987,4,18.69861
20.399499,4,18.70407
0.498354,54,18.749949
35.912502,5,18.756566
-1.0,3,18.757981
2.726727,4,18.763299
0.0,100,18.799291
2.504459,3,18.800797
33.63103,4,18.802759
62.00876,4,18.80466
0.377584,100,18.840568
-1.0,2,18.851269
6.474007,4,18.855407
0.0,100,18.944217
31.386414,79,19.017646
-0.415193,42,19.052078
7.950364,4,19.056054
30.17029,5,19.060515
4.956113,4,19.066065
-0.570604,44,19.106662
0.0,100,19.196097
14.453389,3,19.199899
26.338362,4,19.205457
13.87586,3,19.20895
1.1725,4,19.212925
