#{"t_start": 1752540022.4891195, "env_id": "None"}
r,l,t
0.0,100,0.186858
8.36757,100,0.26978
0.0,100,0.354591
0.0,100,0.4921
7.36757,75,0.608518
10.1657,85,0.683822
0.0,100,0.773794
8.680828,100,0.865194
7.36757,13,0.879379
7.36757,2,0.880513
9.87593,14,0.895693
5.754274,100,0.985929
4.754274,48,1.027765
-1.0,13,1.038187
4.754274,8,1.046229
8.555226,100,1.12935
0.0,100,1.216119
7.680828,57,1.264936
-1.0,90,1.347426
7.680828,80,1.418681
4.754274,58,1.466965
7.555226,28,1.491214
10.1657,2,1.495222
0.0,100,1.580212
0.0,100,1.665731
7.36757,70,1.724803
7.555226,90,1.803233
-0.596094,76,1.876678
7.36757,34,1.913403
8.555226,100,1.999381
-1.0,7,2.006955
0.0,100,2.090663
7.680828,2,2.091899
7.680828,2,2.094919
0.0,100,2.181056
7.36757,3,2.185092
7.36757,3,2.186813
0.0,100,2.274262
-0.596094,13,2.288178
4.754274,78,2.354374
8.555226,100,2.443367
7.36757,4,2.447101
4.754274,2,2.450874
7.680828,2,2.452028
7.36757,4,2.455789
9.87593,96,2.537273
-1.0,78,2.608301
-1.0,87,2.682823
0.403906,100,2.769591
0.0,100,2.853898
7.36757,99,2.941036
-1.0,31,2.970285
8.36757,100,3.056472
0.0,100,3.141277
0.0,100,3.22853
8.555226,100,3.316282
0.0,100,3.401759
7.36757,50,3.443774
8.36757,100,3.530204
4.754274,7,3.537046
7.36757,79,3.60826
4.754274,57,3.657635
0.403906,100,3.743345
0.0,100,3.829469
7.680828,19,3.845857
0.0,100,3.930504
7.36757,22,3.950523
-1.0,5,3.956236
7.36757,72,4.017658
8.36757,100,4.104189
9.87593,22,4.122994
7.36757,28,4.146962
0.0,100,4.229789
7.36757,27,4.255337
5.754274,100,4.340343
8.36757,100,4.426433
7.555226,60,4.478769
7.680828,6,4.483097
8.555226,100,4.598704
0.0,100,4.63376
8.36757,100,4.669336
8.36757,100,4.704797
5.754274,100,4.740265
7.36757,44,4.786523
10.1657,49,4.830795
8.555226,100,4.9204
7.555226,40,4.955169
4.754274,76,5.020561
-1.0,43,5.056576
9.87593,7,5.063081
8.555226,100,5.148005
7.36757,48,5.188679
5.754274,100,5.272883
0.0,100,5.358374
7.555226,67,5.45
7.680828,84,5.528228
-1.0,91,5.607507
8.36757,100,5.691042
7.555226,44,5.731059
4.754274,34,5.760671
9.87593,37,5.791761
7.36757,18,5.809004
0.0,100,5.899356
9.87593,97,5.98214
7.36757,23,6.001957
10.87593,100,6.089341
7.680828,40,6.123248
7.555226,7,6.130687
10.87593,100,6.242804
0.0,100,6.327752
0.0,100,6.413547
8.36757,100,6.497911
7.555226,88,6.581259
0.403906,100,6.666614
-1.0,23,6.686339
0.403906,100,6.771692
-1.0,25,6.794817
-0.596094,51,6.838038
-1.0,85,6.90996
8.555226,100,6.994765
10.1657,84,7.067161
4.754274,9,7.074784
8.555226,100,7.160442
7.36757,15,7.174681
8.36757,100,7.258291
9.87593,2,7.259485
8.36757,100,7.346709
7.36757,11,7.357783
5.754274,100,7.442331
7.555226,72,7.504915
7.680828,34,7.532307
4.754274,45,7.573396
0.403906,100,7.65712
5.754274,100,7.743316
10.1657,23,7.762801
5.754274,100,7.848808
-1.0,99,7.93645
10.1657,30,7.963294
7.555226,4,7.96698
7.36757,22,7.986731
7.36757,67,8.044716
7.36757,13,8.055598
7.680828,35,8.086507
7.680828,88,8.161846
0.0,100,8.250744
-0.596094,63,8.304683
0.403906,100,8.390232
0.403906,100,8.479168
5.754274,100,8.565284
7.36757,6,8.569904
0.0,100,8.655945
0.403906,100,8.741396
10.1657,24,8.762008
7.555226,80,8.831447
8.36757,100,8.916989
4.754274,16,8.932427
7.36757,90,9.009984
0.403906,100,9.095747
7.36757,33,9.124594
7.36757,9,9.13344
8.36757,100,9.173002
8.36757,100,9.20859
8.36757,100,9.244009
0.0,100,9.279147
0.0,100,9.314732
7.36757,71,9.378546
8.36757,100,9.464397
8.36757,100,9.550209
0.0,100,9.636751
-1.0,1,9.637266
7.555226,77,9.705552
7.36757,8,9.711972
-0.596094,64,9.766922
7.36757,67,9.824562
9.87593,2,9.827562
9.87593,2,9.828667
0.0,100,9.914677
5.754274,100,10.000266
7.36757,24,10.020637
4.754274,61,10.07352
-0.596094,52,10.118424
7.555226,69,10.175283
0.403906,100,10.262337
7.36757,58,10.311766
7.555226,23,10.332892
-0.596094,79,10.400132
10.87593,100,10.48554
-1.0,63,10.541128
-1.0,46,10.580116
7.36757,71,10.640594
10.1657,2,10.641815
0.0,100,10.727266
7.36757,18,10.744667
7.555226,2,10.745859
7.555226,2,10.748769
0.0,100,10.83356
8.36757,100,10.921252
7.555226,69,10.981386
8.555226,100,11.065954
8.555226,100,11.15023
7.36757,2,11.154261
10.1657,2,11.155394
8.555226,100,11.240498
0.0,100,11.325439
8.36757,100,11.410619
-1.0,25,11.43115
7.36757,75,11.496315
9.87593,56,11.54394
7.36757,2,11.547865
7.555226,45,11.58552
7.36757,20,11.60292
7.680828,60,11.65436
7.36757,90,11.732853
7.36757,21,11.752179
10.1657,2,11.753343
7.36757,13,11.763718
7.555226,36,11.795515
0.0,100,11.879962
-1.0,98,11.963143
7.36757,27,11.986327
8.555226,100,12.070669
-1.0,32,12.099188
-1.0,79,12.164623
10.1657,60,12.215863
7.36757,48,12.257285
7.555226,55,12.304087
-0.596094,17,12.318441
8.36757,100,12.40604
7.680828,44,12.445095
7.36757,47,12.485265
4.754274,68,12.543662
7.680828,5,12.547547
0.403906,100,12.633161
9.87593,44,12.670091
7.555226,12,12.681904
9.87593,2,12.687035
8.555226,100,12.772335
7.36757,8,12.779238
9.87593,2,12.780345
0.0,100,12.865814
4.754274,36,12.897316
0.403906,100,12.992889
8.555226,100,13.079193
7.680828,13,13.092031
7.680828,53,13.138301
9.87593,2,13.139479
0.0,100,13.22696
8.555226,100,13.313554
7.555226,9,13.323223
-1.0,39,13.354987
7.555226,73,13.418987
7.555226,85,13.492514
7.555226,9,13.50073
4.754274,39,13.534336
8.36757,100,13.619561
7.555226,3,13.623219
5.754274,100,13.668114
8.36757,100,13.704355
10.87593,100,13.740429
7.555226,3,13.742093
8.36757,100,13.77821
7.36757,7,13.792567
0.0,100,13.876458
7.36757,28,13.90123
10.87593,100,13.989157
8.36757,100,14.074617
8.555226,100,14.16346
7.680828,7,14.170169
9.87593,2,14.171362
7.36757,100,14.256547
0.0,100,14.342028
7.555226,3,14.345627
10.87593,100,14.430376
4.754274,97,14.514052
7.555226,3,14.518225
-1.0,83,14.591051
9.87593,21,14.608618
7.680828,3,14.612965
-0.596094,2,14.614108
4.754274,2,14.617199
9.87593,89,14.692605
9.87593,2,14.696388
7.36757,80,14.766089
10.87593,100,14.850728
0.0,100,14.93596
-1.0,4,14.940491
5.754274,100,15.025362
7.555226,3,15.026756
7.555226,62,15.080879
7.555226,3,15.085669
-1.0,79,15.153368
0.0,100,15.239643
8.36757,100,15.325269
10.1657,23,15.345945
7.555226,4,15.349568
7.555226,3,15.353091
7.555226,2,15.354239
7.36757,2,15.357935
10.1657,2,15.359036
7.36757,2,15.361969
7.680828,13,15.372483
7.555226,31,15.399932
0.0,100,15.48436
-1.0,76,15.558878
7.36757,23,15.579032
0.0,100,15.665135
7.555226,29,15.689362
10.1657,2,15.690514
7.36757,2,15.693578
0.0,100,15.780131
7.680828,9,15.787837
7.555226,3,15.791599
0.0,100,15.876433
8.555226,100,16.048833
7.680828,10,16.056457
7.555226,2,16.059671
7.680828,85,16.131292
7.680828,3,16.135687
7.555226,2,16.136794
10.1657,2,16.139776
7.36757,49,16.180935
8.555226,100,16.290256
0.0,100,16.375804
0.0,100,16.459875
7.36757,2,16.462903
7.36757,51,16.505268
0.0,100,16.589863
8.36757,100,16.674606
7.36757,3,16.677953
7.555226,2,16.681695
9.87593,57,16.729157
0.0,100,16.815316
7.555226,52,16.858898
8.36757,100,16.945127
10.1657,2,16.946402
7.680828,5,16.952219
7.555226,47,16.991051
9.87593,36,17.023888
7.36757,2,17.026994
-1.0,10,17.034543
7.555226,3,17.037633
0.0,100,17.124135
10.87593,100,17.209738
7.555226,2,17.212759
0.0,100,17.297552
7.555226,53,17.344572
10.87593,100,17.431617
-1.0,33,17.45958
7.555226,3,17.46314
7.36757,43,17.502598
8.36757,100,17.587723
8.36757,100,17.676537
0.0,100,17.760824
-0.596094,39,17.794011
9.87593,100,17.879035
-0.596094,14,17.892399
0.403906,100,18.079589
0.403906,100,18.166516
7.680828,3,18.170105
5.754274,100,18.258534
8.36757,100,18.359182
0.403906,100,18.396515
0.0,100,18.433424
7.555226,3,18.435136
0.403906,100,18.470833
-0.596094,33,18.503195
10.1657,69,18.562318
8.36757,100,18.648106
4.754274,27,18.67168
7.680828,26,18.693293
7.680828,3,18.698324
7.680828,3,18.701779
5.754274,100,18.787143
-1.0,38,18.817676
7.680828,3,18.824435
10.87593,100,18.909594
7.36757,31,18.936315
7.555226,3,18.938038
8.36757,100,19.024374
-1.0,51,19.069304
7.555226,3,19.072826
-0.596094,74,19.135114
7.680828,3,19.140354
7.680828,3,19.143915
9.87593,2,19.144821
7.36757,52,19.189042
7.36757,28,19.215407
8.36757,100,19.303406
7.555226,3,19.307178
8.36757,100,19.392198
7.555226,3,19.397747
7.36757,57,19.44691
-0.596094,41,19.482636
7.555226,3,19.48623
7.555226,3,19.491433
7.680828,3,19.495004
7.680828,3,19.496713
9.87593,44,19.538132
7.555226,3,19.544261
-1.0,51,19.588428
7.36757,52,19.635639
7.36757,94,19.716779
0.0,100,19.803499
7.555226,3,19.806965
9.87593,20,19.824172
-0.596094,11,19.833956
7.36757,49,19.878587
0.0,100,19.968335
0.403906,100,20.054224
7.36757,34,20.084703
7.680828,3,20.087969
-1.0,19,20.104761
7.36757,44,20.143098
7.555226,3,20.146722
7.555226,3,20.151548
7.36757,12,20.162018
4.754274,72,20.225287
7.680828,3,20.227234
-0.596094,21,20.248445
7.680828,4,20.252228
8.36757,100,20.337637
9.87593,2,20.338809
7.36757,31,20.368575
7.680828,3,20.372006
5.754274,100,20.456688
-0.596094,65,20.512201
-1.0,94,20.590772
9.87593,2,20.59366
0.403906,100,20.677135
7.680828,3,20.680831
-1.0,35,20.710619
8.36757,100,20.79373
0.403906,100,20.879593
-1.0,95,20.958418
7.680828,36,20.990688
7.555226,3,20.994307
-0.596094,34,21.02212
7.680828,3,21.025599
7.36757,54,21.072944
-0.596094,17,21.092066
0.0,100,21.175206
4.754274,60,21.225137
7.555226,3,21.230197
0.0,100,21.313107
9.87593,2,21.314293
0.0,100,21.400065
7.36757,64,21.456652
4.754274,24,21.476483
0.0,100,21.561531
10.1657,80,21.628876
7.36757,91,21.707625
7.555226,3,21.711235
4.754274,12,21.721377
8.36757,100,21.807519
0.0,100,21.892447
7.555226,3,21.894264
10.87593,100,21.980924
8.36757,100,22.063818
7.680828,54,22.110849
0.0,100,22.24421
8.36757,100,22.333235
7.36757,11,22.34329
7.36757,85,22.415405
7.555226,3,22.418884
0.0,100,22.506853
8.36757,100,22.590439
8.36757,100,22.677519
-1.0,39,22.710053
10.87593,100,22.798914
7.680828,3,22.803447
7.555226,3,22.807747
7.680828,3,22.811176
7.555226,3,22.812822
10.1657,47,22.852623
7.555226,3,22.856815
8.36757,100,22.904087
7.680828,3,22.905764
5.754274,100,22.940864
0.0,100,22.976287
5.754274,100,23.011987
4.754274,93,23.094177
11.1657,100,23.179278
7.36757,17,23.194223
0.403906,100,23.278538
8.36757,100,23.365118
10.87593,100,23.450424
10.1657,75,23.515855
7.36757,7,23.522196
7.680828,81,23.596483
-0.596094,5,23.600419
9.87593,41,23.635038
7.555226,3,23.639414
-1.0,50,23.681053
7.36757,6,23.687517
9.87593,54,23.732232
7.555226,3,23.736487
7.36757,58,23.789635
4.754274,2,23.790791
7.36757,2,23.793665
-0.596094,3,23.796081
7.555226,3,23.799529
0.0,100,23.884063
10.1657,11,23.894479
8.36757,100,23.979657
7.36757,63,24.035379
9.87593,51,24.075982
-0.596094,17,24.092394
7.555226,3,24.094944
7.36757,7,24.101544
-0.596094,37,24.169271
7.555226,3,24.17289
7.555226,3,24.177308
0.0,100,24.263317
9.87593,20,24.280389
7.36757,69,24.338323
7.36757,61,24.389334
7.36757,14,24.402192
5.754274,100,24.488652
7.555226,3,24.492225
7.36757,79,24.55882
9.87593,32,24.586049
7.36757,58,24.636508
9.87593,16,24.649728
-0.596094,40,24.686008
7.36757,79,24.753863
7.680828,3,24.755556
7.555226,3,24.759055
-0.596094,8,24.766819
7.36757,93,24.84795
7.36757,37,24.880292
-0.596094,2,24.881451
9.87593,68,24.940208
7.555226,3,24.943686
-1.0,39,24.977185
7.555226,3,24.978883
-0.596094,2,24.982612
7.555226,3,24.986091
-0.596094,2,24.987201
7.36757,3,24.990742
7.36757,44,25.02884
4.754274,56,25.075872
10.1657,6,25.080266
7.36757,18,25.096711
7.680828,2,25.098624
7.36757,3,25.10216
7.36757,3,25.10562
0.0,100,25.1912
7.36757,48,25.234916
7.680828,97,25.32156
7.555226,3,25.325029
7.36757,3,25.328468
0.0,100,25.414924
7.680828,3,25.416671
4.754274,5,25.422366
0.0,100,25.50851
7.36757,16,25.522596
10.1657,8,25.5287
7.555226,3,25.530483
10.1657,2,25.533379
-1.0,15,25.54721
-1.0,28,25.570507
-1.0,96,25.650494
8.36757,100,25.735208
7.555226,4,25.739823
8.36757,100,25.823389
-0.596094,40,25.857919
7.680828,2,25.859091
4.754274,2,25.863104
7.555226,4,25.866545
7.36757,3,25.867963
-0.596094,2,25.870931
0.0,100,25.95701
0.0,100,26.04282
7.36757,3,26.046574
4.754274,2,26.047687
7.36757,3,26.052233
7.555226,3,26.055469
7.36757,3,26.057104
7.680828,3,26.060207
7.36757,3,26.064374
7.36757,3,26.067854
-1.0,15,26.079432
0.0,100,26.163677
7.555226,3,26.168107
4.754274,4,26.171839
0.0,100,26.267182
0.0,100,26.351113
7.555226,3,26.355575
7.555226,3,26.35908
4.754274,64,26.414038
7.555226,3,26.415712
4.754274,2,26.419762
7.555226,3,26.423202
7.680828,3,26.424633
-1.0,78,26.492208
7.555226,3,26.496675
7.36757,19,26.511315
9.87593,56,26.561497
7.680828,3,26.56515
7.36757,3,26.569628
7.680828,2,26.570753
7.36757,3,26.574201
7.36757,3,26.577643
7.36757,3,26.581862
0.0,100,26.675781
0.0,100,26.981544
7.555226,3,26.983299
7.555226,3,26.987865
5.754274,100,27.071305
7.36757,48,27.111712
10.87593,100,27.195158
7.555226,3,27.199797
7.36757,2,27.2009
-1.0,42,27.236892
9.87593,71,27.296512
-0.596094,32,27.324728
7.555226,4,27.328383
9.87593,40,27.361326
7.36757,11,27.369264
0.0,100,27.453831
10.87593,100,27.538592
7.555226,3,27.542099
10.1657,16,27.555943
0.0,100,27.649828
10.87593,100,27.685721
0.0,100,27.721033
0.0,100,27.756316
0.0,100,27.790975
8.36757,100,27.88642
9.87593,78,27.952789
7.36757,83,28.023096
-1.0,28,28.046821
4.754274,40,28.08095
7.680828,4,28.084667
7.680828,3,28.086371
-1.0,15,28.099299
0.0,100,28.18469
7.680828,3,28.188222
7.555226,3,28.191736
7.36757,97,28.273719
7.555226,3,28.278026
-0.596094,2,28.279153
7.555226,4,28.282832
4.754274,2,28.286157
7.680828,3,28.288457
4.754274,2,28.291389
-0.596094,2,28.292494
7.36757,64,28.346251
7.555226,3,28.350478
0.403906,100,28.434258
7.36757,13,28.444831
7.680828,3,28.448291
7.36757,87,28.522026
7.36757,74,28.583547
7.36757,64,28.636543
7.555226,3,28.639994
10.87593,100,28.724884
7.36757,19,28.741783
4.754274,52,28.787082
7.36757,73,28.847794
4.754274,47,28.889503
7.555226,3,28.892886
7.36757,3,28.894572
7.680828,2,28.897453
7.680828,3,28.901628
8.36757,100,28.985258
0.403906,100,29.067854
-1.0,13,29.078315
7.36757,8,29.08613
8.36757,100,29.16957
0.0,100,29.253644
8.36757,100,29.336084
0.0,100,29.420366
7.680828,3,29.424013
-1.0,90,29.503011
7.36757,47,29.543051
7.36757,64,29.597355
7.680828,99,29.679923
7.555226,3,29.68162
0.403906,100,29.765749
7.36757,43,29.804244
7.555226,3,29.807741
8.36757,100,29.895428
7.555226,3,29.898923
5.754274,100,29.984203
7.555226,3,29.985953
0.0,100,30.070806
8.36757,100,30.155303
0.0,100,30.240835
7.36757,81,30.309695
9.87593,87,30.381448
7.36757,42,30.416755
8.36757,100,30.501158
8.36757,100,30.586782
0.0,100,30.671709
7.36757,30,30.697002
0.0,100,30.78127
7.555226,3,30.784746
0.0,100,30.869124
7.36757,45,30.906337
7.680828,3,30.910619
9.87593,40,30.943838
4.754274,83,31.014159
7.36757,77,31.078007
-1.0,14,31.091398
9.87593,26,31.111907
8.36757,100,31.195545
7.555226,3,31.199053
-0.596094,87,31.274285
7.680828,19,31.290363
7.555226,3,31.293823
7.555226,3,31.297325
7.555226,3,31.301547
9.87593,3,31.302852
7.36757,2,31.305504
7.36757,64,31.360698
7.555226,3,31.364849
7.36757,34,31.39238
7.555226,3,31.395866
9.87593,81,31.464029
7.680828,3,31.468227
0.403906,100,31.550838
7.36757,76,31.614088
-1.0,12,31.624143
5.754274,100,31.707937
7.680828,3,31.711413
7.36757,15,31.722903
-0.596094,85,31.797552
8.36757,100,31.881402
10.87593,100,31.967552
7.555226,3,31.969287
7.555226,3,31.972733
10.87593,100,32.089976
0.0,100,32.125134
0.0,100,32.160753
5.754274,100,32.196015
8.36757,100,32.231131
8.36757,100,32.319183
7.680828,33,32.348844
9.87593,15,32.362708
0.0,100,32.44639
7.680828,9,32.456552
7.36757,89,32.530983
7.36757,3,32.534462
7.680828,3,32.536122
0.0,100,32.620151
8.36757,100,32.703324
9.87593,8,32.710191
7.36757,36,32.740444
9.87593,11,32.750986
0.0,100,32.856888
0.0,100,32.939668
0.0,100,33.024778
0.0,100,33.109742
7.555226,2,33.112428
0.0,100,33.198613
10.87593,100,33.283332
0.403906,100,33.367354
0.0,100,33.450224
7.680828,20,33.467263
7.36757,44,33.504234
7.36757,45,33.542926
-0.596094,3,33.54601
7.555226,3,33.547654
-0.596094,2,33.550565
4.754274,2,33.552344
7.555226,3,33.55635
7.36757,6,33.562576
4.754274,2,33.563698
0.0,100,33.664719
7.555226,3,33.683116
9.87593,54,33.731954
10.1657,2,33.734712
7.36757,61,33.785859
-0.596094,6,33.791874
10.87593,100,33.875186
-1.0,2,33.876015
8.36757,100,34.085268
0.0,100,34.169473
7.36757,3,34.172962
7.680828,3,34.176398
-0.596094,60,34.230974
7.36757,85,34.306431
0.0,100,34.390095
0.0,100,34.473205
0.0,100,34.570858
10.87593,100,34.657577
7.555226,3,34.661124
-1.0,1,34.661823
7.36757,89,34.738616
-1.0,1,34.739294
7.555226,3,34.742757
8.36757,100,34.830328
0.0,100,34.917718
10.87593,100,35.003267
0.0,100,35.087866
-1.0,1,35.088577
9.87593,43,35.127762
-1.0,1,35.128431
10.87593,100,35.212914
7.36757,15,35.228405
7.555226,3,35.234064
0.0,100,35.32183
7.555226,4,35.325583
7.36757,32,35.352201
7.555226,3,35.359915
0.0,100,35.443336
-1.0,15,35.454736
7.555226,3,35.458529
7.555226,3,35.46414
7.555226,3,35.467587
-1.0,1,35.46823
7.680828,65,35.529436
7.680828,97,35.614098
-1.0,1,35.616556
9.87593,43,35.651862
0.0,100,35.736475
7.36757,26,35.7615
0.0,100,35.848233
9.87593,34,35.877481
0.0,100,35.962388
8.36757,100,36.049485
0.0,100,36.136745
7.680828,83,36.224425
8.36757,100,36.308254
0.0,100,36.396904
0.0,100,36.483688
10.1657,38,36.517114
7.555226,4,36.522031
0.0,100,36.609757
8.36757,100,36.695253
0.0,100,36.786268
10.87593,100,36.821649
0.0,100,36.857445
0.0,100,36.892816
0.0,100,36.928208
