#{"t_start": 1752539721.4266095, "env_id": "None"}
r,l,t
-1.0,5,0.018626
10.066421,100,0.162418
10.066421,100,0.293647
9.066421,55,0.343784
-1.0,12,0.35931
0.51174,100,0.446685
9.066421,83,0.603265
-1.0,51,0.64541
0.0,100,0.728012
-1.0,32,0.792238
0.51174,100,0.88688
0.0,100,0.975701
9.066421,59,1.025232
-0.48826,83,1.092703
0.51174,100,1.180347
10.066421,100,1.264244
9.066421,52,1.310214
0.51174,100,1.3932
10.066421,100,1.480031
-1.0,51,1.525289
10.066421,100,1.609288
0.51174,100,1.691799
0.51174,100,1.788846
0.51174,100,1.880661
0.51174,100,1.970251
9.066421,67,2.030204
9.066421,53,2.07522
-0.48826,82,2.145345
0.51174,100,2.230194
0.0,100,2.315934
0.51174,100,2.405637
-0.48826,43,2.441592
-0.48826,8,2.448748
10.066421,100,2.534272
-1.0,18,2.551322
-1.0,70,2.605795
-1.0,89,2.680621
9.066421,72,2.738188
-0.48826,3,2.741884
9.066421,2,2.744692
-1.0,31,2.770093
0.0,100,2.849971
-0.48826,12,2.861815
-1.0,69,2.917315
0.51174,100,3.001193
9.066421,33,3.027219
0.51174,100,3.10983
0.0,100,3.194777
10.066421,100,3.274939
10.066421,100,3.356302
-0.48826,71,3.416429
9.066421,26,3.438771
0.51174,100,3.520863
-0.48826,97,3.599078
0.0,100,3.68197
-0.48826,2,3.682882
0.0,100,3.763546
0.0,100,3.844056
-0.48826,65,3.898949
9.066421,7,3.905478
-0.48826,93,3.979799
10.066421,100,4.061284
9.066421,45,4.101889
-0.48826,3,4.103527
9.066421,2,4.106373
9.066421,2,4.107464
9.066421,2,4.115247
0.0,100,4.196891
10.066421,100,4.280065
9.066421,36,4.309499
-1.0,68,4.366554
-1.0,18,4.380334
-0.48826,23,4.399686
0.0,100,4.482992
0.0,100,4.524189
0.51174,100,4.559048
0.0,100,4.593903
10.066421,100,4.628759
0.51174,100,4.663614
0.51174,100,4.757784
9.066421,32,4.785367
-1.0,86,4.858698
9.066421,99,4.942429
9.066421,2,4.94457
-0.48826,4,4.948423
9.066421,2,4.951293
0.0,100,5.036804
9.066421,2,5.038899
0.0,100,5.126851
0.0,100,5.21203
10.066421,100,5.295833
-0.48826,20,5.314813
10.066421,100,5.398255
-1.0,86,5.473022
10.066421,100,5.556644
-1.0,49,5.596821
-0.48826,80,5.663512
-1.0,92,5.750533
9.066421,59,5.826227
-1.0,81,5.892515
9.066421,73,5.951176
0.51174,100,6.034162
9.066421,18,6.050623
-0.48826,13,6.062116
-1.0,86,6.131122
9.066421,68,6.186404
-0.48826,7,6.192734
0.51174,100,6.280314
-0.48826,6,6.286102
0.51174,100,6.366344
10.066421,100,6.44651
9.066421,33,6.47497
10.066421,100,6.555145
0.0,100,6.644873
0.0,100,6.724668
0.0,100,6.806551
0.51174,100,6.888341
0.51174,100,6.968447
9.066421,35,6.996965
-0.48826,10,7.006281
-1.0,43,7.041509
9.066421,5,7.045559
-1.0,75,7.108292
-0.48826,3,7.113793
-0.48826,3,7.11549
9.066421,2,7.118381
-0.48826,3,7.121703
9.066421,2,7.125726
-1.0,5,7.129483
-0.48826,5,7.13479
9.066421,3,7.136072
-0.48826,3,7.141242
9.066421,2,7.144007
9.066421,2,7.145265
-0.48826,3,7.149609
0.0,100,7.234367
-0.48826,50,7.306043
-0.48826,53,7.349668
9.066421,84,7.417345
-0.48826,3,7.421061
9.066421,2,7.423835
9.066421,2,7.42494
-1.0,62,7.475439
9.066421,26,7.498519
-1.0,15,7.511081
9.066421,4,7.514601
10.066421,100,7.596803
-1.0,24,7.618681
9.066421,10,7.627668
-0.48826,98,7.706717
-0.48826,54,7.754433
0.51174,100,7.836683
9.066421,59,7.884279
-1.0,15,7.896701
-1.0,2,7.899809
-1.0,62,7.951035
0.51174,100,8.034564
10.066421,100,8.116317
-1.0,35,8.145197
10.066421,100,8.227972
-0.48826,23,8.246989
0.0,100,8.327665
-0.48826,3,8.329399
9.066421,2,8.334184
-0.48826,3,8.33795
9.066421,2,8.339052
9.066421,3,8.342199
-1.0,93,8.420673
-0.48826,3,8.424034
9.066421,3,8.426964
9.066421,2,8.428087
9.066421,9,8.437389
0.51174,100,8.521589
-0.48826,59,8.571938
-1.0,88,8.643038
9.066421,60,8.693856
0.0,100,8.778502
0.51174,100,8.859571
-0.48826,83,8.938389
0.51174,100,8.977189
0.0,100,9.012252
10.066421,100,9.047291
0.0,100,9.08187
10.066421,100,9.116723
-0.48826,43,9.163947
-0.48826,75,9.227777
9.066421,22,9.245678
-0.48826,15,9.260839
-0.48826,3,9.265946
0.0,100,9.351258
9.066421,6,9.355307
0.51174,100,9.441295
0.51174,100,9.526907
-0.48826,62,9.584545
-1.0,26,9.604762
-1.0,94,9.682161
9.066421,2,9.684227
-0.48826,91,9.76543
-0.48826,3,9.7688
-1.0,50,9.808259
9.066421,11,9.819826
9.066421,34,9.85055
9.066421,2,9.851661
9.066421,2,9.869473
9.066421,2,9.876418
9.066421,2,9.905111
-0.48826,3,9.906815
-1.0,80,9.990532
9.066421,2,9.994349
9.066421,2,9.995504
9.066421,2,9.998325
-1.0,44,10.034346
-1.0,72,10.093089
-1.0,41,10.127661
9.066421,74,10.190986
9.066421,2,10.19217
9.066421,2,10.195939
9.066421,2,10.197066
-0.48826,12,10.207514
-1.0,59,10.255784
9.066421,19,10.27442
9.066421,2,10.275545
-0.48826,3,10.278933
9.066421,2,10.280039
9.066421,2,10.283557
-0.48826,3,10.286991
9.066421,2,10.288123
9.066421,3,10.291219
0.0,100,10.374757
10.066421,100,10.457309
-0.48826,12,10.467657
0.0,100,10.549306
-1.0,24,10.570356
-1.0,32,10.596845
-0.48826,89,10.673831
9.066421,2,10.677207
-0.48826,3,10.679702
9.066421,2,10.682605
9.066421,2,10.683699
9.066421,3,10.686681
0.0,100,10.770189
9.066421,2,10.772864
0.0,100,10.855543
0.0,100,10.938309
0.0,100,11.020605
-0.48826,67,11.081879
9.066421,25,11.103989
-1.0,39,11.133756
9.066421,2,11.137419
0.0,100,11.219634
9.066421,3,11.222883
0.0,100,11.309616
9.066421,80,11.376296
-0.48826,9,11.383519
9.066421,55,11.428868
0.0,100,11.512802
0.0,100,11.59458
9.066421,2,11.595789
-1.0,7,11.601915
9.066421,2,11.603015
-0.48826,49,11.646444
9.066421,2,11.647576
0.0,100,11.729229
-0.48826,24,11.750226
9.066421,2,11.753886
0.0,100,11.834565
9.066421,2,11.835762
9.066421,2,11.838601
9.066421,2,11.840551
0.0,100,11.93896
-1.0,39,11.972264
-1.0,98,12.051196
-1.0,87,12.124251
0.0,100,12.209785
-0.48826,93,12.286702
-0.48826,92,12.361899
0.0,100,12.450004
0.0,100,12.533608
0.0,100,12.616204
9.066421,26,12.638689
-1.0,52,12.682722
9.066421,100,12.765207
0.0,100,12.84778
10.066421,100,12.928668
0.0,100,13.012341
10.066421,100,13.098462
10.066421,100,13.183492
-0.48826,98,13.262655
9.066421,19,13.279835
-1.0,36,13.310452
0.0,100,13.394576
0.0,100,13.460993
0.0,100,13.497437
0.0,100,13.532903
10.066421,100,13.569481
0.0,100,13.605932
0.51174,100,13.694847
0.0,100,13.787657
10.066421,100,13.872036
0.0,100,13.955024
9.066421,2,13.957735
0.51174,100,14.042208
-1.0,36,14.07168
0.51174,100,14.153901
0.51174,100,14.235153
0.51174,100,14.319025
0.0,100,14.403862
9.066421,71,14.461356
9.066421,2,14.462499
9.066421,2,14.466906
9.066421,2,14.468052
9.066421,2,14.470858
-1.0,60,14.519376
9.066421,2,14.521911
-0.48826,87,14.596971
0.0,100,14.677917
10.066421,100,14.759563
10.066421,100,14.842667
0.51174,100,14.927667
-1.0,1,14.928161
9.066421,11,14.937544
-1.0,86,15.008336
-1.0,14,15.020698
10.066421,100,15.104581
9.066421,48,15.144076
9.066421,27,15.168372
9.066421,2,15.169532
0.0,100,15.251586
-0.48826,69,15.309402
9.066421,56,15.357877
0.0,100,15.441342
-0.48826,38,15.474675
0.0,100,15.557863
0.0,100,15.641326
0.51174,100,15.727269
-0.48826,9,15.734446
9.066421,16,15.747886
0.0,100,15.83301
0.0,100,15.919823
-1.0,16,15.933165
9.066421,91,16.022045
0.51174,100,16.110055
9.066421,19,16.127432
9.066421,2,16.128654
0.51174,100,16.216032
0.51174,100,16.300017
10.066421,100,16.383701
-1.0,64,16.435518
-1.0,37,16.466378
10.066421,100,16.554734
10.066421,100,16.641277
0.0,100,16.723977
10.066421,100,16.806139
-1.0,23,16.827375
-1.0,83,16.896914
0.0,100,16.98093
0.0,100,17.062408
9.066421,73,17.123081
0.51174,100,17.20486
0.0,100,17.311149
-1.0,89,17.386235
0.0,100,17.474767
10.066421,100,17.558536
0.51174,100,17.639562
-1.0,12,17.649462
0.0,100,17.734571
0.51174,100,17.818549
-1.0,8,17.824942
9.066421,7,17.831217
10.066421,100,17.898405
10.066421,100,17.933693
0.0,100,17.969224
10.066421,100,18.004483
10.066421,100,18.040354
10.066421,100,18.129366
0.0,100,18.220865
0.0,100,18.303463
-1.0,98,18.383318
9.066421,19,18.401617
-1.0,24,18.422279
-0.48826,93,18.504374
0.0,100,18.592441
-0.48826,6,18.597326
9.066421,49,18.639408
0.51174,100,18.720439
9.066421,16,18.735561
9.066421,32,18.765172
0.0,100,18.854977
0.0,100,18.939413
0.0,100,19.025912
-0.48826,6,19.031541
9.066421,2,19.034369
0.51174,100,19.113857
0.0,100,19.198945
9.066421,49,19.243944
0.0,100,19.331126
0.0,100,19.414293
10.066421,100,19.4975
10.066421,100,19.58023
-0.48826,65,19.634812
9.066421,45,19.671094
-1.0,74,19.733807
10.066421,100,19.816678
-1.0,93,19.893856
0.0,100,19.974636
9.066421,30,20.001096
-1.0,47,20.0389
10.066421,100,20.120311
10.066421,100,20.203253
0.0,100,20.28418
0.0,100,20.365235
-1.0,83,20.433989
-1.0,34,20.461441
10.066421,100,20.54225
0.0,100,20.624781
0.51174,100,20.705558
10.066421,100,20.786495
0.0,100,20.870673
9.066421,90,20.945547
0.51174,100,21.248495
10.066421,100,21.331235
9.066421,75,21.39282
0.51174,100,21.480827
0.0,100,21.576023
0.0,100,21.65733
-1.0,58,21.703003
0.51174,100,21.785096
0.0,100,21.868864
0.0,100,21.94961
0.0,100,22.039794
9.066421,47,22.078545
0.0,100,22.162305
10.066421,100,22.244662
9.066421,68,22.299051
10.066421,100,22.382093
0.0,100,22.499986
0.0,100,22.53467
0.0,100,22.569363
0.0,100,22.604036
0.0,100,22.638631
0.0,100,22.72138
10.066421,100,22.806777
0.0,100,22.887377
10.066421,100,23.01047
0.0,100,23.098178
0.0,100,23.179338
0.0,100,23.261995
0.0,100,23.343221
-0.48826,38,23.383863
0.0,100,23.469196
10.066421,100,23.551037
0.0,100,23.632579
0.51174,100,23.713092
-1.0,18,23.726787
0.0,100,23.809828
-1.0,42,23.845538
0.0,100,23.927164
-0.48826,96,24.008422
-1.0,8,24.016025
-1.0,16,24.032433
0.51174,100,24.112912
-0.48826,62,24.163003
9.066421,17,24.178109
-1.0,75,24.238522
-1.0,74,24.298649
-1.0,7,24.304786
0.51174,100,24.38697
10.066421,100,24.469333
0.0,100,24.551369
9.066421,2,24.552558
9.066421,2,24.555331
9.066421,2,24.557254
9.066421,2,24.560073
9.066421,2,24.56119
9.066421,2,24.563966
-1.0,1,24.565034
9.066421,2,24.566141
0.0,100,24.647123
0.51174,100,24.727339
-0.48826,39,24.759584
0.0,100,24.840332
-1.0,42,24.874945
-1.0,9,24.881705
0.0,100,25.029685
0.51174,100,25.11165
9.066421,2,25.112589
9.066421,15,25.183552
9.066421,32,25.211273
10.066421,100,25.295605
0.0,100,25.384658
0.51174,100,25.469996
10.066421,100,25.555706
0.0,100,25.644783
0.0,100,25.729053
9.066421,44,25.769985
0.0,100,25.854589
-0.48826,60,25.907698
10.066421,100,25.991776
-1.0,56,26.045862
10.066421,100,26.128947
0.0,100,26.213701
0.0,100,26.295026
0.0,100,26.378596
0.0,100,26.463397
0.0,100,26.549525
10.066421,100,26.632392
9.066421,87,26.70418
0.51174,100,26.787912
0.0,100,26.872439
0.0,100,26.959371
0.0,100,27.036414
0.0,100,27.072183
10.066421,100,27.108997
0.0,100,27.14575
0.0,100,27.182107
0.51174,100,27.293534
10.066421,100,27.379707
9.066421,99,27.465967
0.0,100,27.549051
0.51174,100,27.632243
0.0,100,27.717951
0.51174,100,27.800944
10.066421,100,27.883338
-1.0,77,27.946369
0.0,100,28.038547
-1.0,10,28.048181
10.066421,100,28.132981
10.066421,100,28.217887
0.0,100,28.303239
9.066421,86,28.37711
0.0,100,28.460104
0.0,100,28.568245
0.0,100,28.65423
9.066421,22,28.672815
9.066421,30,28.699685
0.0,100,28.781677
0.0,100,28.867359
9.066421,94,28.950634
9.066421,74,29.012516
0.51174,100,29.095349
0.0,100,29.180888
0.0,100,29.264569
10.066421,100,29.347331
10.066421,100,29.431165
-1.0,9,29.442136
0.0,100,29.527477
0.0,100,29.61265
0.0,100,29.697298
-0.48826,96,29.778439
0.0,100,29.864166
9.066421,70,29.920947
0.0,100,30.008014
9.066421,90,30.085526
-0.48826,63,30.136495
0.0,100,30.220055
9.066421,28,30.243072
0.0,100,30.330891
0.51174,100,30.414888
0.51174,100,30.496326
0.0,100,30.58314
9.066421,56,30.63375
10.066421,100,30.718803
9.066421,75,30.78307
-1.0,100,30.865175
-1.0,53,30.911677
0.0,100,30.99904
10.066421,100,31.081644
9.066421,6,31.087979
0.0,100,31.172825
0.0,100,31.25686
0.0,100,31.34139
0.0,100,31.42491
9.066421,2,31.427412
0.0,100,31.513912
10.066421,100,31.549774
0.0,100,31.585341
0.0,100,31.621046
0.0,100,31.656084
-1.0,90,31.736501
0.0,100,31.833136
9.066421,57,31.881401
-1.0,40,31.917048
10.066421,100,32.000063
0.0,100,32.084995
0.0,100,32.171142
-1.0,99,32.254405
0.0,100,32.337894
9.066421,49,32.378094
9.066421,46,32.417018
0.0,100,32.503332
-1.0,18,32.517327
-1.0,92,32.597467
0.0,100,32.680625
0.0,100,32.765603
9.066421,28,32.788461
10.066421,100,32.873627
0.0,100,33.168369
10.066421,100,33.325333
0.0,100,33.407248
0.0,100,33.490186
-1.0,28,33.513305
10.066421,100,33.624357
0.0,100,33.707434
0.0,100,33.789986
0.0,100,33.872273
-1.0,56,33.920342
10.066421,100,34.007403
9.066421,71,34.068221
0.0,100,34.154327
0.0,100,34.237411
0.51174,100,34.320674
0.0,100,34.40206
10.066421,100,34.483176
-0.48826,47,34.523264
0.51174,100,34.605213
0.0,100,34.700627
10.066421,100,34.802129
10.066421,100,34.890633
0.0,100,34.973708
0.0,100,35.055167
9.066421,10,35.06253
0.0,100,35.144824
10.066421,100,35.229808
-1.0,30,35.254844
-1.0,81,35.322367
10.066421,100,35.40705
-1.0,23,35.426111
0.0,100,35.511109
-0.48826,93,35.586731
10.066421,100,35.683123
10.066421,100,35.765986
0.0,100,35.847402
-1.0,78,35.91409
9.066421,17,35.930545
0.0,100,36.014771
9.066421,100,36.100502
0.0,100,36.18497
0.0,100,36.273402
0.0,100,36.321287
0.0,100,36.358217
10.066421,100,36.394267
10.066421,100,36.429458
