#{"t_start": 1745975248.8646982, "env_id": "None"}
r,l,t
10.87593,100,0.069676
0.0,100,0.125811
10.87593,100,0.182012
0.0,100,0.238334
0.0,100,0.299286
0.0,100,0.357295
10.1657,2,0.359087
0.403906,100,0.415828
0.0,100,0.472875
0.0,100,0.529385
0.0,100,0.587804
0.0,100,0.645106
0.403906,100,0.701262
7.36757,7,0.705774
0.0,100,0.761692
8.555226,100,0.817234
10.1657,6,0.821109
8.555226,100,0.876919
8.555226,100,0.933399
0.0,100,0.988925
0.0,100,1.056018
10.87593,100,1.112129
0.0,100,1.168816
0.0,100,2.125926
7.36757,6,2.129967
0.0,100,2.19212
10.1657,4,2.195888
0.0,100,2.260432
0.0,100,2.322983
0.0,100,2.38499
7.555226,5,2.393253
0.0,100,2.455595
0.0,100,2.514305
10.1657,6,2.518552
0.0,100,2.575757
0.0,100,2.632647
7.36757,2,2.634371
7.36757,2,2.636047
0.0,100,2.692571
8.555226,100,2.75124
10.1657,6,2.755493
0.0,100,2.812161
0.0,100,2.86963
7.36757,3,2.872177
7.36757,4,2.875181
0.0,100,2.94576
0.0,100,3.005451
7.36757,3,3.008055
0.0,100,3.066636
8.555226,100,3.125377
0.0,100,3.184009
8.555226,100,3.243029
0.0,100,3.301012
0.0,100,4.297976
7.555226,6,4.302226
7.555226,2,4.303922
7.555226,2,4.305593
10.1657,8,4.310616
7.555226,7,4.31516
8.555226,100,4.371333
10.1657,7,4.375819
7.555226,3,4.378042
7.555226,3,4.380238
10.1657,5,4.383614
0.0,100,4.4399
7.555226,4,4.442704
0.0,100,4.498704
0.0,100,4.554574
10.1657,3,4.556843
0.0,100,4.612681
8.555226,100,4.668745
10.1657,2,4.670404
7.555226,6,4.674305
7.36757,12,4.681551
8.555226,100,4.740264
7.555226,9,4.746173
10.87593,100,4.83937
0.0,100,4.88695
0.0,100,4.933956
0.0,100,4.983034
0.0,100,5.030916
0.0,100,5.099336
9.87593,13,5.107657
0.0,100,5.165307
9.87593,7,5.169883
0.0,100,5.22752
8.555226,100,5.285408
9.87593,2,5.287079
0.0,100,5.344038
7.36757,16,5.353835
9.87593,6,5.357801
9.87593,2,5.359481
0.0,100,5.416434
10.1657,6,5.420378
9.87593,3,5.422596
7.36757,6,5.426568
7.555226,4,5.429405
9.87593,3,5.431659
0.0,100,5.489235
7.36757,2,5.490943
8.555226,100,5.548412
8.555226,100,5.605947
0.0,100,5.66297
0.0,100,6.62825
0.0,100,6.687552
0.0,100,6.76122
7.555226,4,6.764289
0.0,100,6.820626
0.0,100,6.878075
10.1657,2,6.884204
7.36757,2,6.885981
9.87593,7,6.89064
7.555226,3,6.893011
0.0,100,6.952985
0.403906,100,7.01035
8.555226,100,7.067801
0.0,100,7.124912
7.555226,4,7.12779
0.0,100,7.185563
0.0,100,7.24362
8.555226,100,7.301178
8.555226,100,7.360942
0.0,100,7.418047
0.403906,100,7.476079
7.36757,3,7.478435
9.87593,4,7.490043
0.0,100,7.547475
7.555226,3,7.549747
10.1657,3,7.551986
8.555226,100,7.609757
0.0,100,7.667884
0.0,100,7.725764
0.0,100,7.788434
0.0,100,8.828835
0.0,100,8.886723
8.555226,100,8.946369
7.555226,2,8.948237
9.87593,2,8.950082
10.1657,7,8.954897
0.0,100,9.014837
0.0,100,9.071839
7.555226,2,9.073593
0.0,100,9.12998
8.555226,100,9.18937
7.36757,5,9.19305
0.0,100,9.251719
7.555226,6,9.256058
0.0,100,9.314871
8.555226,100,9.374809
7.555226,2,9.383978
8.555226,100,9.440843
8.555226,100,9.498189
0.0,100,9.555087
7.36757,4,9.557925
0.0,100,9.615131
7.36757,6,9.619096
0.0,100,9.678817
7.36757,3,9.681616
10.1657,2,9.683648
8.555226,100,9.742523
0.0,100,9.801316
7.555226,2,9.803325
0.0,100,9.862613
0.0,100,9.94732
0.0,100,9.99426
10.1657,2,9.995655
0.0,100,10.042617
0.0,100,10.089294
10.1657,2,10.092519
7.555226,3,10.094835
7.36757,7,10.09943
0.0,100,10.156993
9.87593,3,10.159269
10.1657,3,10.161787
7.36757,4,10.164634
8.555226,100,10.221654
0.0,100,11.117493
7.555226,5,11.121073
0.0,100,11.17789
0.0,100,11.236672
0.0,100,11.294675
8.555226,100,11.351053
10.1657,6,11.355044
0.0,100,11.411443
8.555226,100,11.467669
8.555226,100,11.524059
0.0,100,11.580404
8.555226,100,11.63669
8.555226,100,11.6935
7.36757,2,11.695293
9.87593,10,11.710931
0.0,100,11.767589
0.0,100,11.824057
0.0,100,11.880878
8.555226,100,11.93723
0.0,100,11.994007
0.0,100,12.050578
8.555226,100,12.107079
0.0,100,12.163929
8.555226,100,12.220327
9.87593,9,12.225974
0.0,100,13.219857
0.0,100,13.276561
0.0,100,13.333269
10.1657,4,13.336174
7.36757,12,13.343494
0.0,100,13.399686
8.555226,100,13.456041
7.36757,8,13.461112
0.0,100,13.51737
8.555226,100,13.573539
7.555226,2,13.575216
7.555226,5,13.578554
0.0,100,13.640484
0.0,100,13.697726
0.0,100,13.75557
7.555226,3,13.758399
9.87593,4,13.761668
0.0,100,13.821362
8.555226,100,13.88195
8.555226,100,13.940295
9.87593,7,13.945428
9.87593,15,13.954674
0.0,100,14.013511
8.555226,100,14.07214
0.0,100,14.130481
0.0,100,14.188225
10.1657,5,14.19177
8.555226,100,14.2501
0.0,100,14.32471
10.1657,2,14.327184
10.1657,2,14.32897
0.0,100,14.386729
0.0,100,15.325917
7.555226,5,15.329603
0.0,100,15.390324
11.1657,100,15.450223
8.555226,100,15.510115
7.555226,4,15.513116
9.87593,4,15.51607
7.555226,2,15.517826
0.0,100,15.577494
0.0,100,15.637224
9.87593,3,15.639618
0.0,100,15.728785
0.0,100,15.777504
0.0,100,15.827039
8.36757,100,15.876305
0.0,100,15.923542
7.555226,7,15.929472
10.1657,2,15.931221
0.0,100,15.989793
0.0,100,16.050447
10.1657,4,16.053463
10.1657,2,16.055233
0.0,100,16.114829
10.1657,3,16.117222
9.87593,5,16.1208
7.36757,2,16.122533
0.0,100,16.182258
0.0,100,16.243548
0.0,100,16.3037
0.0,100,16.361145
0.0,100,16.41871
9.87593,38,16.44153
0.0,100,16.499169
7.555226,5,16.50264
0.0,100,16.563641
9.87593,11,16.570779
0.0,100,16.637629
7.555226,4,16.640632
9.87593,4,16.643571
11.1657,100,16.703371
0.0,100,17.682027
10.1657,3,17.684895
8.555226,100,17.745337
0.0,100,17.805188
0.0,100,17.864679
0.0,100,17.924597
7.555226,6,17.928786
9.87593,15,17.93828
0.0,100,17.997989
0.0,100,18.057287
7.555226,4,18.060229
10.1657,5,18.063767
10.1657,3,18.066104
0.0,100,18.12566
0.0,100,18.185436
8.555226,100,18.244965
7.555226,3,18.247326
0.0,100,18.313123
7.36757,2,18.314859
7.36757,2,18.316659
0.0,100,18.376298
9.87593,9,18.382195
7.555226,4,18.385169
0.0,100,18.444407
7.555226,5,18.448057
10.1657,3,18.450579
9.87593,14,18.459466
8.555226,100,18.518807
9.87593,11,18.525886
0.0,100,18.58534
10.1657,3,18.587687
7.36757,12,18.595372
8.555226,100,18.655183
7.555226,9,18.661089
7.555226,2,18.662817
7.555226,2,18.664572
0.0,100,18.725914
8.555226,100,18.785684
0.0,100,18.844959
7.555226,3,18.847294
7.555226,3,18.849623
0.0,100,18.909242
0.0,100,19.855388
7.36757,4,19.858395
0.0,100,19.916857
0.0,100,19.975219
11.1657,100,20.034367
8.555226,100,20.092
9.87593,39,20.114775
0.0,100,20.175159
0.0,100,20.233499
0.0,100,20.291877
7.36757,8,20.297139
0.0,100,20.355537
7.555226,6,20.359569
11.1657,100,20.419164
8.555226,100,20.483523
7.36757,2,20.485496
0.0,100,20.543576
9.87593,11,20.550492
0.0,100,20.608334
0.0,100,20.666716
11.1657,100,20.724169
0.0,100,20.784926
0.0,100,20.832307
0.0,100,20.8795
0.0,100,20.926715
0.0,100,20.974315
0.0,100,21.033376
0.0,100,21.091435
10.1657,4,21.094351
0.0,100,21.152313
10.1657,14,21.161361
7.36757,4,21.164171
9.87593,11,21.170934
0.0,100,21.227209
8.555226,100,22.470728
8.555226,100,22.526597
0.0,100,22.583138
0.0,100,22.643334
7.555226,4,22.650707
0.0,100,22.708737
0.0,100,22.770814
0.0,100,22.843585
11.1657,100,22.905419
7.555226,4,22.908762
9.87593,11,22.916178
9.87593,18,22.927463
7.555226,10,22.934242
0.0,100,22.997283
10.1657,3,22.99997
0.0,100,23.064986
8.555226,100,23.125031
8.555226,100,23.18674
8.555226,100,23.247507
10.1657,3,23.250452
7.36757,2,23.25244
9.87593,8,23.258448
9.87593,13,23.268419
0.0,100,23.327125
0.0,100,23.387633
7.555226,7,23.392888
0.0,100,23.4527
0.0,100,23.51019
8.555226,100,23.57016
7.36757,3,23.572784
0.0,100,23.652552
8.555226,100,23.716034
0.0,100,24.806103
8.555226,100,24.868012
0.0,100,24.926345
0.0,100,24.984067
0.0,100,25.043979
11.1657,100,25.104122
0.0,100,25.17253
10.1657,3,25.175335
7.36757,3,25.177714
0.0,100,25.236542
7.555226,7,25.241446
7.36757,4,25.244577
8.555226,100,25.306017
8.555226,100,25.36512
9.87593,4,25.368378
0.0,100,25.42649
0.0,100,25.485036
0.0,100,25.547028
0.0,100,25.605225
0.0,100,25.663442
8.555226,100,25.74282
8.555226,100,25.802616
7.36757,4,25.80564
7.36757,9,25.811403
0.0,100,25.869259
0.0,100,25.927748
0.0,100,25.986447
0.0,100,26.970275
0.0,100,27.028002
7.36757,11,27.03495
0.0,100,27.091064
11.1657,100,27.147155
7.555226,3,27.149416
0.0,100,27.216502
0.0,100,27.262754
0.0,100,27.308885
0.0,100,27.355243
8.36757,100,27.40131
8.555226,100,27.458985
8.555226,100,27.515002
7.555226,2,27.516701
9.87593,30,27.534062
8.555226,100,27.590405
8.555226,100,27.646667
7.555226,7,27.651198
7.555226,6,27.655149
0.0,100,27.711349
0.0,100,27.769506
0.0,100,27.825381
0.0,100,27.881214
0.0,100,27.937647
0.0,100,27.995194
8.555226,100,28.054824
8.555226,100,28.114243
0.0,100,28.172282
0.0,100,28.231124
8.555226,100,28.291371
8.555226,100,29.349633
8.555226,100,29.408061
7.555226,11,29.415195
7.555226,16,29.424969
8.555226,100,29.483524
0.0,100,29.545148
7.555226,2,29.547375
8.555226,100,29.610218
9.87593,19,29.623064
9.87593,22,29.645067
0.0,100,29.707328
8.555226,100,29.771336
0.0,100,29.831583
10.1657,8,29.83732
0.0,100,29.899333
0.0,100,29.961945
11.1657,100,30.020252
0.0,100,30.078252
11.1657,100,30.136133
9.87593,14,30.151563
9.87593,18,30.162559
8.555226,100,30.220554
0.0,100,30.278184
9.87593,6,30.282276
9.87593,23,30.296231
0.0,100,30.354123
0.0,100,30.412533
0.0,100,30.470617
8.555226,100,30.528596
9.87593,80,30.575353
0.0,100,31.523028
0.0,100,31.581524
8.555226,100,31.640095
11.1657,100,31.698609
8.555226,100,31.756561
0.0,100,31.814486
10.1657,5,31.818053
8.555226,100,31.875757
8.555226,100,31.934105
8.555226,100,31.991904
0.0,100,32.05
7.36757,4,32.052958
0.0,100,32.111055
11.1657,100,32.16915
11.1657,100,32.227169
0.0,100,32.300164
0.0,100,32.347723
0.0,100,32.395274
8.36757,100,32.442972
0.0,100,32.490463
0.403906,100,32.550122
0.0,100,32.60859
10.1657,3,32.61097
0.0,100,32.669532
7.36757,2,32.671315
7.555226,10,32.67763
0.0,100,32.735607
8.555226,100,32.793653
0.0,100,32.852265
0.0,100,32.910618
7.555226,9,33.805417
0.0,100,33.864087
8.555226,100,33.922454
10.1657,9,33.928474
0.0,100,33.986436
7.36757,7,33.991171
0.0,100,34.04914
0.0,100,34.107022
7.36757,13,34.11519
0.0,100,34.179387
7.555226,5,34.183432
7.555226,13,34.192414
0.0,100,34.253657
8.555226,100,34.316082
8.555226,100,34.381287
7.555226,6,34.387064
7.36757,12,34.40394
11.1657,100,34.467244
11.1657,100,34.529477
0.0,100,34.598178
0.0,100,34.665636
0.0,100,34.722062
0.0,100,34.778153
11.1657,100,34.837477
8.555226,100,34.893697
0.0,100,34.954929
8.555226,100,35.015828
0.0,100,35.958267
0.0,100,36.01626
10.1657,18,36.02716
7.555226,5,36.030668
7.555226,24,36.044886
10.1657,6,36.048846
10.1657,13,36.056801
8.555226,100,36.114746
7.555226,12,36.122381
0.0,100,36.180248
7.555226,8,36.185611
8.555226,100,36.242498
0.0,100,36.299802
8.555226,100,36.356734
8.555226,100,36.418539
0.0,100,36.475769
0.0,100,36.532686
7.555226,13,36.540733
8.555226,100,36.59778
7.36757,6,36.601762
8.555226,100,36.66058
0.0,100,36.717613
11.1657,100,36.773592
0.0,100,36.829182
0.0,100,36.884917
10.1657,6,36.888905
8.555226,100,36.944701
11.1657,100,37.000802
8.555226,100,37.056599
7.555226,7,37.061054
0.403906,100,37.116565
0.0,100,38.251078
0.0,100,38.353216
0.0,100,38.399958
8.555226,100,38.446471
0.0,100,38.492977
0.0,100,38.539622
0.0,100,38.598974
9.87593,24,38.613311
8.555226,100,38.66999
0.0,100,38.727098
11.1657,100,38.789663
7.555226,9,38.7997
0.0,100,38.866206
8.555226,100,38.925019
11.1657,100,38.983789
9.87593,12,38.99156
8.555226,100,39.048911
0.0,100,39.106165
10.1657,12,39.113587
8.555226,100,39.170351
11.1657,100,39.227676
7.36757,3,39.230032
8.555226,100,39.316561
10.1657,14,39.325329
0.0,100,39.38381
8.555226,100,39.442295
0.0,100,39.499879
8.555226,100,39.557428
10.1657,14,39.566057
7.36757,4,39.568936
10.1657,7,39.573499
0.0,100,39.630926
0.0,100,40.645489
8.555226,100,40.703723
0.0,100,40.761315
0.0,100,40.818022
7.555226,12,40.82549
0.0,100,40.884487
11.1657,100,40.941423
8.555226,100,40.998649
8.555226,100,41.055945
0.0,100,41.113228
0.0,100,41.170312
8.555226,100,41.227833
10.1657,6,41.231846
7.36757,10,41.238123
8.555226,100,41.296118
9.87593,18,41.30697
8.555226,100,41.364005
8.555226,100,41.421341
8.555226,100,41.478556
10.1657,5,41.481985
0.0,100,41.538832
0.0,100,41.59572
9.87593,7,41.600189
0.0,100,41.657067
0.0,100,41.714409
7.36757,5,41.717954
0.0,100,41.775428
9.87593,14,41.783914
11.1657,100,42.778244
0.0,100,42.835857
0.0,100,42.894748
8.555226,100,42.950857
0.0,100,43.006976
0.0,100,43.063254
10.1657,2,43.064968
0.0,100,43.121027
8.555226,100,43.177198
9.87593,40,43.2002
8.555226,100,43.259018
11.1657,100,43.315352
0.0,100,43.41423
8.555226,100,43.460265
0.0,100,43.506245
8.555226,100,43.552507
0.0,100,43.602316
0.0,100,43.679072
0.0,100,43.744803
0.0,100,43.806709
0.0,100,43.866141
0.0,100,43.922981
7.36757,6,43.927032
0.0,100,43.983718
8.555226,100,44.040215
9.87593,7,44.044768
0.0,100,44.100845
0.0,100,44.15811
7.36757,8,44.163204
10.1657,5,44.170982
7.555226,4,44.173793
7.36757,8,44.178849
